,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Definition,0,0,0,0,0,0,0,0,0,0,0,0
Statistik,0,0,0,0,0,0,0,0,0,0,0,0
qualitative Auswertung,0,0,0,1,1,0,0,5,0,0,0,7
Sum,0,0,0,1,1,0,0,5,0,0,0,7
