,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Dummheit,1,0,0,0,1,1,0,0,3
Gefahr für priesterliches Ansehen,0,0,0,0,1,3,0,3,7
Kirchenrechtlich,1,0,0,0,3,0,0,0,4
Liebesbeziehung,0,2,1,0,1,0,0,0,4
Missbrauch,0,0,1,1,2,0,0,3,7
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0,0,0,0
Strafrechtlich,1,0,0,0,2,0,0,0,3
Verhältnis nicht weiter spezifiziert,0,1,0,0,0,2,0,3,6
Verstoß gegen 6. Gebot,0,0,0,0,1,0,0,0,1
Weitere Framings,0,0,0,0,0,0,0,1,1
Zölibatsverstoß,1,0,1,0,0,1,0,0,3
der Frau,0,2,0,0,0,0,0,0,2
durch Frau,0,0,0,0,0,0,0,1,1
moralische Verurteilung,1,0,0,0,0,3,0,1,5
sexuelle Handlungen,0,0,0,0,0,0,0,1,1
unerheblich,2,2,0,0,3,0,0,0,7
verklausuliert,0,0,1,0,1,6,0,2,10
"Übergriff, Gewalt etc.",0,0,0,0,0,0,0,1,1
Sum,7,7,4,1,15,16,0,16,66
