,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Anbahnung,0,0,0,0,0,2,0,1,1,4
Durchführung,1,0,0,0,0,0,0,0,0,1
Geständnis,0,0,0,0,0,0,0,0,0,0
Schritte der Wiedergutmachung,0,0,0,0,0,0,0,0,0,0
Sonstige Vertuschung,0,0,0,0,0,0,0,0,1,1
Vertuschung,0,0,0,0,0,0,0,0,0,0
Weiteres Handeln der Beschuldigten,0,0,0,0,0,0,0,0,0,0
Sum,1,0,0,0,0,2,0,1,2,6
