,"Rechtliches Verfahren, offizielle Untersuchung",rechtliches Verfahren,rechtliches Verfahren ohne Konsequenzen,Sum
Meldung (Umfeld),0,1,0,1
Solidarisierung mit Beschuldigtem (Umfeld),0,0,0,0
Solidarisierung mit Betroffenen (Umfeld),0,0,0,0
Verzicht auf Meldung (Umfeld),0,0,0,0
Warnung,0,0,0,0
Sum,0,1,0,1
