,Dummheit,Gefahr für priesterliches Ansehen,Kirchenrechtlich,Missbrauch,Schutz- und Hilfsbedürftigkeit,Strafrechtlich,Verführung,Verhältnis,Verstoß gegen 6. Gebot,Weitere Framings,Zölibatsverstoß,moralische Verurteilung,unerheblich,verklausuliert,"Übergriff, Gewalt etc.",Sum
Dummheit,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Gefahr für priesterliches Ansehen,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kirchenrechtlich,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,9
Missbrauch,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,39
Schutz- und Hilfsbedürftigkeit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Strafrechtlich,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
Verführung,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Verhältnis,0,0,0,1,0,0,0,20,0,0,0,1,1,0,0,23
Verstoß gegen 6. Gebot,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Weitere Framings,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Zölibatsverstoß,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5
moralische Verurteilung,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,12
unerheblich,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,17
verklausuliert,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,16
"Übergriff, Gewalt etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
Sum,5,6,9,39,1,9,4,23,2,3,5,12,17,16,22,173
