,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
reproduktiv,5,2,1,0,8
sexuell,2,134,1,0,137
spirituell,1,1,8,1,11
weitere Vorwürfe,0,0,1,27,28
Sum,8,137,11,28,184
