,Anbahnung,Durchführung,Geständnis,Schritte der Wiedergutmachung,Sonstige Vertuschung,Vertuschung,Weiteres Handeln der Beschuldigten,Sum
Anbahnung,12,1,0,0,0,0,0,13
Durchführung,1,5,0,0,0,0,0,6
Geständnis,0,0,7,0,4,0,0,11
Schritte der Wiedergutmachung,0,0,0,6,0,0,0,6
Sonstige Vertuschung,0,0,4,0,22,0,0,26
Vertuschung,0,0,0,0,0,14,0,14
Weiteres Handeln der Beschuldigten,0,0,0,0,0,0,7,7
Sum,13,6,11,6,26,14,7,83
