,Unglaubwürdigkeit,Weitere Stereotype und Motive,mental health,Sum
Unglaubwürdigkeit,10,0,0,10
Weitere Stereotype und Motive,0,3,0,3
mental health,0,0,1,1
Sum,10,3,1,14
