term,frequency,percentage
beziehungen,3,7.692
mädchen,2,5.128
verhältnis,2,5.128
…,2,5.128
beziehung,2,5.128
frauen,2,5.128
gen,1,2.564
cousinen,1,2.564
herrn,1,2.564
häuserin,1,2.564
pfar-,1,2.564
rers,1,2.564
schulmädchen,1,2.564
vergangen,1,2.564
beziehun-,1,2.564
freundliche,1,2.564
rin,1,2.564
häuse-,1,2.564
priesters,1,2.564
unangemessenen,1,2.564
jungen,1,2.564
intimes,1,2.564
intime,1,2.564
intimen,1,2.564
verhältnissen,1,2.564
sexuelle,1,2.564
anzubahnen,1,2.564
anderweitig,1,2.564
problematisches,1,2.564
verhalten,1,2.564
erwachsenen,1,2.564
männern,1,2.564
