term,frequency,percentage
wurde,4,10.256
dokumentiert,2,5.128
zurückzuführen,1,2.564
entnehmen,1,2.564
wurden,1,2.564
zurücklägen,1,2.564
eingesetzt,1,2.564
sei,1,2.564
küssen,1,2.564
berührt,1,2.564
erkennbar,1,2.564
volljährig,1,2.564
klasse,1,2.564
bringen,1,2.564
stellen,1,2.564
entwicklungshemmnissen,1,2.564
bistum,1,2.564
erhalten,1,2.564
werten,1,2.564
eingestellt,1,2.564
gemeldet,1,2.564
teilzunehmen,1,2.564
gekündigt,1,2.564
köln,1,2.564
laisierung,1,2.564
freiheitsstrafe,1,2.564
nahmen,1,2.564
darstellen,1,2.564
dokumentieren,1,2.564
statt,1,2.564
blick,1,2.564
dar,1,2.564
verteidigen,1,2.564
hielt,1,2.564
personen,1,2.564
