term,frequency,percentage
mädchen,11,2.079
…,10,1.89
mehr,6,1.134
pfarrer,6,1.134
frauen,5,0.945
sei,5,0.945
anton,5,0.945
berichtete,4,0.756
priester,4,0.756
jahre,3,0.567
jahren,3,0.567
pfarrei,3,0.567
frau,3,0.567
schon,3,0.567
mutter,3,0.567
damals,3,0.567
verhältnis,3,0.567
priesters,3,0.567
klasse,3,0.567
tochter,3,0.567
p,3,0.567
beschuldigten,3,0.567
„[…,3,0.567
kam,2,0.378
haus,2,0.378
daraufhin,2,0.378
gestern,2,0.378
geht,2,0.378
ministranten,2,0.378
seit,2,0.378
nebenraum,2,0.378
geworden,2,0.378
ge-,2,0.378
bücherei,2,0.378
gespielt,2,0.378
immer,2,0.378
missbrauch,2,0.378
mitschülerinnen,2,0.378
klar,2,0.378
kinder,2,0.378
seien,2,0.378
unangemessenen,2,0.378
jahr,2,0.378
sexuellen,2,0.378
kin-,2,0.378
u,2,0.378
sowas,2,0.378
sic,2,0.378
hätten,2,0.378
meisten,2,0.378
betroffene,2,0.378
spricht,2,0.378
wissen,2,0.378
gemeinde,2,0.378
neue,2,0.378
bereits,2,0.378
unterhalten,2,0.378
vergnügungsveranstaltungen,2,0.378
sinnlos,2,0.378
beträchtliche,2,0.378
summen,2,0.378
geld,2,0.378
vergeude,2,0.378
kostspielige,2,0.378
hauptsächlich,2,0.378
‚jungen,2,0.378
damen‘,2,0.378
abstossender,2,0.378
aufdringlichkeit,2,0.378
zeitzeugen,2,0.378
5,2,0.378
getränke,2,0.378
gegenüber,2,0.378
-,2,0.378
buben,2,0.378
dabei,2,0.378
möglicherweisen,1,0.189
abruf,1,0.189
an-,1,0.189
tons,1,0.189
folge,1,0.189
angegrif-,1,0.189
gepackt,1,0.189
ruhe,1,0.189
läßt,1,0.189
schlage,1,0.189
krankenhausreif…,1,0.189
besser,1,0.189
nichte,1,0.189
mehrmals,1,0.189
abge-,1,0.189
griffen…,1,0.189
geklagt,1,0.189
nie,1,0.189
…].“,1,0.189
4,1,0.189
umgang,1,0.189
skandalös,1,0.189
greift,1,0.189
überall,1,0.189
…]“,1,0.189
eheprobleme,1,0.189
sexualfragen,1,0.189
warum,1,0.189
häuse-,1,0.189
rin.“,1,0.189
darüber,1,0.189
hinaus,1,0.189
berichterstat-,1,0.189
ter,1,0.189
glaubhaft,1,0.189
erfahren,1,0.189
zwei,1,0.189
er-,1,0.189
wachsenen,1,0.189
sexuell,1,0.189
missbräuchlicher,1,0.189
absicht,1,0.189
genähert,1,0.189
ende,1,0.189
2010er,1,0.189
fen…,1,0.189
meldete,1,0.189
anfang,1,0.189
1990er,1,0.189
bischof,1,0.189
wilhelm,1,0.189
egger,1,0.189
gemeldet,1,0.189
ombuds-,1,0.189
stelle,1,0.189
diözese,1,0.189
bozen-brixen,1,0.189
erneut,1,0.189
grundschule,1,0.189
erlitten,1,0.189
zu-,1,0.189
davon,1,0.189
bruder,1,0.189
schüler,1,0.189
oberschule,1,0.189
erzählt,1,0.189
„begrapscht“,1,0.189
personalakten,1,0.189
enthaltenen,1,0.189
promemoria,1,0.189
späten,1,0.189
1970er,1,0.189
anschein,1,0.189
genannten,1,0.189
bürger-,1,0.189
meister,1,0.189
stammt,1,0.189
hervor,1,0.189
zeitpunkt,1,0.189
körperlich,1,0.189
geistig,1,0.189
schwer,1,0.189
angeschlagene,1,0.189
zuvor,1,0.189
tätig,1,0.189
belästigendes,1,0.189
verhal-,1,0.189
ten,1,0.189
volljährigen,1,0.189
aufgefallen,1,0.189
„seit,1,0.189
mai,1,0.189
jahres,1,0.189
minist-,1,0.189
ranten,1,0.189
drei,1,0.189
wochen,1,0.189
begonnen,1,0.189
umarmen,1,0.189
küssen,1,0.189
calcetto,1,0.189
ausziehen,1,0.189
gemacht,1,0.189
selber,1,0.189
ausgezogen,1,0.189
bub,1,0.189
schlechtsteilen,1,0.189
herumgreifen,1,0.189
regelrecht,1,0.189
vergangen,1,0.189
davongelaufen,1,0.189
gesehen,1,0.189
samstag,1,0.189
ministrantin,1,0.189
frl,1,0.189
umarmt,1,0.189
wie-,1,0.189
geküsst,1,0.189
krankenpflegeschülerin,1,0.189
angerufen,1,0.189
möge,1,0.189
kommen,1,0.189
fernseh,1,0.189
schauen,1,0.189
vermutlich,1,0.189
lang,1,0.189
balkon,1,0.189
kleines,1,0.189
gummischwimmbad,1,0.189
aufge-,1,0.189
stellt,1,0.189
kind,1,0.189
schwimmen,1,0.189
beabsichtigt,1,0.189
ebenso,1,0.189
welt,1,0.189
fertig,1,0.189
hingehen,1,0.189
al-,1,0.189
les,1,0.189
symptome,1,0.189
bestimmten,1,0.189
zustand.“,1,0.189
„ich,1,0.189
möchte,1,0.189
fragen,1,0.189
schuld,1,0.189
nichtschuld,1,0.189
unter-,1,0.189
suchen,1,0.189
dorf,1,0.189
gerede,1,0.189
wirken,1,0.189
möglich“,1,0.189
„hang,1,0.189
weiblichen,1,0.189
