term,frequency,percentage
alter,5,7.576
jahren,5,7.576
14,3,4.545
frau,3,4.545
16,3,4.545
jahre,3,4.545
mädchen,2,3.03
jünger,2,3.03
alt,2,3.03
ca,2,3.03
15jähriges,2,3.03
pubertieren-,1,1.515
15jährigen,1,1.515
m,1,1.515
jahr,1,1.515
1977,1,1.515
geborene,1,1.515
14-jährige,1,1.515
14-,1,1.515
teilweise,1,1.515
17,1,1.515
bereits,1,1.515
12,1,1.515
begonnen,1,1.515
lebensjahr,1,1.515
ersten,1,1.515
übergriffe,1,1.515
hätten,1,1.515
dokumentiert,1,1.515
16-18,1,1.515
gibt,1,1.515
jedoch,1,1.515
mehrheitlich,1,1.515
beschuldigten,1,1.515
„verhältnisses“,1,1.515
beginn,1,1.515
gerade,1,1.515
geworden,1,1.515
mehrere,1,1.515
jungen,1,1.515
minderjährigen,1,1.515
14/15,1,1.515
mädchens,1,1.515
minderjähri­,1,1.515
gen,1,1.515
