term,frequency,percentage
sei,16,2.102
frau,16,2.102
k,13,1.708
jahre,7,0.92
priester,6,0.788
missbrauchsbeauftragten,6,0.788
dabei,6,0.788
wurde,6,0.788
missbrauch,6,0.788
kirche,5,0.657
gespräch,5,0.657
dadurch,5,0.657
hätte,5,0.657
konnte,5,0.657
sexuellen,5,0.657
worden,5,0.657
ja,4,0.526
mehr,4,0.526
sexuelle,4,0.526
weiteren,4,0.526
treffen,4,0.526
mal,4,0.526
missbrauchsbeauftragte,4,0.526
jedoch,4,0.526
/,4,0.526
später,3,0.394
gespräche,3,0.394
körper,3,0.394
darüber,3,0.394
bekommen,3,0.394
vier,3,0.394
laut,3,0.394
…,3,0.394
verlauf,3,0.394
ging,3,0.394
davon,3,0.394
rahmen,3,0.394
protokolle,3,0.394
wäre,3,0.394
gleich,3,0.394
gesagt,3,0.394
hause,3,0.394
versetzt,3,0.394
gesprächen,3,0.394
gehabt,2,0.263
damaligen,2,0.263
angerufen,2,0.263
mund,2,0.263
hand,2,0.263
berührt,2,0.263
halt,2,0.263
erhalten,2,0.263
fand,2,0.263
anton,2,0.263
p,2,0.263
passiert,2,0.263
be-,2,0.263
machte,2,0.263
betroffene,2,0.263
nähe,2,0.263
–,2,0.263
anstatt,2,0.263
institution,2,0.263
berichtet,2,0.263
wb,2,0.263
brüste,2,0.263
unterstützung,2,0.263
missbraucht,2,0.263
erlebt,2,0.263
damals,2,0.263
seien,2,0.263
kam,2,0.263
ebenso,2,0.263
wurden,2,0.263
zunächst,2,0.263
begleitung,2,0.263
missbrauchs,2,0.263
wohl,2,0.263
ge-,2,0.263
händen,2,0.263
gut,2,0.263
beim,2,0.263
beschuldigten,2,0.263
mutter,2,0.263
ver-,2,0.263
zeit,2,0.263
anfangs,2,0.263
gab,2,0.263
jahr,2,0.263
men,2,0.263
umarmungen,2,0.263
berührte,2,0.263
penis,2,0.263
lang,2,0.263
erzbistums,2,0.263
köln,2,0.263
vertrauen,2,0.263
kloster,2,0.263
sexuell,2,0.263
ereignet,1,0.131
12,1,0.131
alt,1,0.131
zudem,1,0.131
berichtete,1,0.131
zehn,1,0.131
erfahren,1,0.131
ferienlagers,1,0.131
versucht,1,0.131
ministrantin,1,0.131
bett,1,0.131
legen,1,0.131
außerdem,1,0.131
kenntnis,1,0.131
religions-,1,0.131
unterricht,1,0.131
gegenüber,1,0.131
welt,1,0.131
15jährigen,1,0.131
andeutungen,1,0.131
gemacht,1,0.131
eingefordert,1,0.131
1987,1,0.131
hinzuweisen,1,0.131
freundin,1,0.131
14-jährigen,1,0.131
gegeben,1,0.131
mädchen,1,0.131
heftig,1,0.131
erschreckt,1,0.131
hinten,1,0.131
beiden,1,0.131
fasste,1,0.131
klare,1,0.131
aussagen,1,0.131
einzelner,1,0.131
betroffener,1,0.131
praxis,1,0.131
wochen,1,0.131
abflug,1,0.131
mexiko,1,0.131
aufgegeben,1,0.131
»vertraulichen,1,0.131
gesprächs«,1,0.131
brust,1,0.131
»und,1,0.131
merkt,1,0.131
bewegt,1,0.131
wandert,1,0.131
unterm,1,0.131
pullover,1,0.131
schlimme,1,0.131
dran«,1,0.131
hinaus,1,0.131
junge,1,0.131
angaben,1,0.131
wohnung,1,0.131
pfarrers,1,0.131
pornohefte,1,0.131
herumlagen,1,0.131
unwissend,1,0.131
tragwei-,1,0.131
te,1,0.131
verhaltens,1,0.131
verstehen«,1,0.131
zulassen,1,0.131
ganz,1,0.131
schlimm,1,0.131
zwischenfall,1,0.131
oma,1,0.131
opa,1,0.131
umarmung,1,0.131
schon,1,0.131
wa,1,0.131
legte,1,0.131
drauf,1,0.131
küsste,1,0.131
schob,1,0.131
zunge,1,0.131
eklig,1,0.131
bewegen«,1,0.131
»ja,1,0.131
warum,1,0.131
überhaupt,1,0.131
spät,1,0.131
hingekommen,1,0.131
früher,1,0.131
irgendwie,1,0.131
nachvollziehen,1,0.131
ückblickend,1,0.131
stellt,1,0.131
fest,1,0.131
heute,1,0.131
