term,frequency,percentage
wenig,1,0.131
abgesehen,1,0.131
strafversetzung,1,0.131
geschichte,1,0.131
konsequen-,1,0.131
zen,1,0.131
befördert,1,0.131
leben,1,0.131
hingegen,1,0.131
massiv,1,0.131
beeinträchtigt,1,0.131
m,1,0.131
ipp,1,0.131
verleiht,1,0.131
ärger,1,0.131
ausdruck,1,0.131
kopf,1,0.131
hinweg,1,0.131
»alle«,1,0.131
informiert,1,0.131
erneuten,1,0.131
machtmissbrauch,1,0.131
emp-,1,0.131
unangemessen,1,0.131
handy,1,0.131
telefongespräch,1,0.131
minuten,1,0.131
gedauert,1,0.131
einfühlsame,1,0.131
weise,1,0.131
viele,1,0.131
fragen,1,0.131
gestellt,1,0.131
nachhinein,1,0.131
fühlte,1,0.131
überrumpelt,1,0.131
ausgefragt,1,0.131
verhalten,1,0.131
letztlich,1,0.131
linkisch,1,0.131
empfunden,1,0.131
termin,1,0.131
aus-,1,0.131
zumachen,1,0.131
inhaltliches,1,0.131
verwickelt,1,0.131
besser,1,0.131
per,1,0.131
e-mail,1,0.131
kontakt,1,0.131
aufgenommen,1,0.131
anzurufen,1,0.131
zwischenzeit,1,0.131
ratschlag,1,0.131
professionellen,1,0.131
raterin,1,0.131
gehen,1,0.131
wofür,1,0.131
entsprechende,1,0.131
empfehlung,1,0.131
fünf,1,0.131
bongartz46,1,0.131
denen,1,0.131
eigene,1,0.131
verletzung,1,0.131
professionelle,1,0.131
verringerte,1,0.131
empfinden,1,0.131
einzelperson,1,0.131
machtapparat,1,0.131
gegenüberzustehen,1,0.131
handlungs-,1,0.131
fähig,1,0.131
geblieben,1,0.131
zumal,1,0.131
vor-,1,0.131
nachbereitung,1,0.131
30,1,0.131
kommen,1,0.131
geholfen,1,0.131
strukturieren,1,0.131
emotionen,1,0.131
sachebene,1,0.131
bringen,1,0.131
mitgeschrieben,1,0.131
erhob,1,0.131
anspruch,1,0.131
anfang,1,0.131
2020er,1,0.131
meldete,1,0.131
ausgehändigt,1,0.131
vorgehen,1,0.131
allein,1,0.131
fällen,1,0.131
sexuellem,1,0.131
minderjährigen,1,0.131
vorgegeben,1,0.131
weiterer,1,0.131
folge,1,0.131
absprache,1,0.131
beraterin,1,0.131
verfasst,1,0.131
missbrauchs-,1,0.131
beauftragte,1,0.131
geschickt,1,0.131
schließlich,1,0.131
nachgebessert,1,0.131
details,1,0.131
erinnerung,1,0.131
hilfreich,1,0.131
positiv,1,0.131
erlittene,1,0.131
weitere,1,0.131
anerkannt,1,0.131
schriftlich,1,0.131
bestätigt,1,0.131
bistum,1,0.131
ent-,1,0.131
schuldigung,1,0.131
wegen,1,0.131
unautorisierten,1,0.131
weitergabe,1,0.131
unterlagen,1,0.131
täter,1,0.131
form,1,0.131
entschul-,1,0.131
digt,1,0.131
annehmen,1,0.131
geld,1,0.131
überwiesen,1,0.131
vergleich,1,0.131
folgen,1,0.131
erlittenen,1,0.131
om-,1,0.131
budsstelle,1,0.131
witz,1,0.131
begleiterin,1,0.131
opfern,1,0.131
gefragt,1,0.131
abgeblockt,1,0.131
charakter,1,0.131
versöhnung,1,0.131
bistumsvertreter*innen,1,0.131
intendiert,1,0.131
wiedergutmachung,1,0.131
unumgänglich,1,0.131
ämtern,1,0.131
zurücktritt,1,0.131
grund,1,0.131
dafür,1,0.131
öffentlich,1,0.131
bekannt,1,0.131
gibt,1,0.131
rücktritt,1,0.131
fordert,1,0.131
sichtbar,1,0.131
kei-,1,0.131
nen,1,0.131
reihen,1,0.131
dulde,1,0.131
missbrauchstäter,1,0.131
könne,1,0.131
teil,1,0.131
bongartz,1,0.131
distanziert,1,0.131
angespannt,1,0.131
diözese-brixen,1,0.131
wirkt,1,0.131
engagiert,1,0.131
zugehört,1,0.131
hauptsächlich,1,0.131
miss-,1,0.131
brauchsbeauftragte,1,0.131
geführt,1,0.131
gute,1,0.131
ansätze,1,0.131
gezeigt,1,0.131
erkennbar,1,0.131
unabhängig,1,0.131
verwoben,1,0.131
therapie,1,0.131
klärung,1,0.131
gebraucht,1,0.131
ziel,1,0.131
an-,1,0.131
erkannt,1,0.131
wünschenswert,1,0.131
möchte,1,0.131
e,1,0.131
unabhängige,1,0.131
r,1,0.131
berater,1,0.131
erfah-,1,0.131
rung,1,0.131
14-,1,0.131
2007,1,0.131
thema,1,0.131
sexueller,1,0.131
geistliche,1,0.131
auskenne,1,0.131
k.s,1,0.131
eindrücke,1,0.131
insgesamt,1,0.131
ambivalent,1,0.131
einerseits,1,0.131
wohlwollen,1,0.131
echtes,1,0.131
anliegen,1,0.131
seitens,1,0.131
bistums,1,0.131
wahrgenommen,1,0.131
missbräuchliche,1,0.131
handeln,1,0.131
sehen,1,0.131
zurückgewinnen,1,0.131
seite,1,0.131
schien,1,0.131
wichtig,1,0.131
ruf,1,0.131
schützen,1,0.131
machtposition,1,0.131
„während,1,0.131
beichte,1,0.131
erzählte,1,0.131
chen,1,0.131
gehe,1,0.131
zubettgehen,1,0.131
alkoholikerin,1,0.131
deshalb,1,0.131
probleme,1,0.131
familie,1,0.131
gebe,1,0.131
tröstete,1,0.131
nett,1,0.131
baute,1,0.131
zeitzeugen,1,0.131
trauen,1,0.131
ländlichen,1,0.131
geschenk,1,0.131
kom-,1,0.131
plimente,1,0.131
gebieten,1,0.131
umarmte,1,0.131
sogar,1,0.131
küsse,1,0.131
gesicht,1,0.131
öfter,1,0.131
getrunken,1,0.131
schlecht,1,0.131
pfarrer,1,0.131
abgeholt,1,0.131
genom-,1,0.131
haus,1,0.131
erstmal,1,0.131
situation,1,0.131
gesprochen,1,0.131
spaziergängen,1,0.131
getröstet,1,0.131
im-,1,0.131
mer,1,0.131
intensiver,1,0.131
anfing,1,0.131
t-shirt,1,0.131
hen,1,0.131
berühren,1,0.131
on,1,0.131
bekamen,1,0.131
handlungen,1,0.131
immer,1,0.131
steigerung,1,0.131
fanden,1,0.131
statt,1,0.131
wiederholt,1,0.131
fing,1,0.131
beide,1,0.131
auszuziehen,1,0.131
führte,1,0.131
geschlecht,1,0.131
befriedigen,1,0.131
themen,1,0.131
rieb,1,0.131
drang,1,0.131
fingern,1,0.131
scheide,1,0.131
vierten,1,0.131
soweit,1,0.131
einge-,1,0.131
drungen,1,0.131
schluss,1,0.131
dagegen,1,0.131
gewehrt,1,0.131
kind,1,0.131
aufhören,1,0.131
müsse,1,0.131
innerhalb,1,0.131
zwei,1,0.131
gespro-,1,0.131
setzungen,1,0.131
trafen,1,0.131
weiterhin,1,0.131
holte,1,0.131
ab,1,0.131
schenkte,1,0.131
zugtickets,1,0.131
besuchen,1,0.131
nachdem,1,0.131
ganze,1,0.131
beendet,1,0.131
beschreibt,1,0.131
etwa,1,0.131
ansprechperson,1,0.131
zurecht-,1,0.131
vorfälle,1,0.131
fälle,1,0.131
märz,1,0.131
hätten,1,0.131
sexu-,1,0.131
ellen,1,0.131
kontakte,1,0.131
entwickelten,1,0.131
mitte,1,0.131
besuches,1,0.131
1970er,1,0.131
gekommen,1,0.131
rah-,1,0.131
persönlichen,1,0.131
gesprächs,1,0.131
alter,1,0.131
16,1,0.131
jahren,1,0.131
tat,1,0.131
2008,1,0.131
2009,1,0.131
angezeigt,1,0.131
verantwortlichen,1,0.131
zöfra,1,0.131
verein,1,0.131
zölibat,1,0.131
betroffenen,1,0.131
frauen,1,0.131
schweiz,1,0.131
berichteten,1,0.131
«komischen,1,0.131
küssen,1,0.131
zunge»,1,0.131
griffen,1,0.131
nachthemden,1,0.131
pflicht,1,0.131
