term,frequency,percentage
gegenüber,4,4.348
frauen,4,4.348
priester,2,2.174
sexualisierter,2,2.174
rede,2,2.174
e,2,2.174
wegen,1,1.087
mitte,1,1.087
1980er,1,1.087
jahre,1,1.087
halten[s]“,1,1.087
ver-,1,1.087
völlig,1,1.087
unkontrolliert,1,1.087
mädchen,1,1.087
„unverschämt[en,1,1.087
fiel,1,1.087
erneut,1,1.087
ten,1,1.087
ta-,1,1.087
weniger,1,1.087
worten,1,1.087
kenntnis,1,1.087
davon,1,1.087
usw,1,1.087
witzen,1,1.087
unterricht,1,1.087
14-,1,1.087
sexuelle,1,1.087
15jährigen,1,1.087
andeutungen,1,1.087
gemacht,1,1.087
religions-,1,1.087
außerdem,1,1.087
gerne,1,1.087
u,1,1.087
flirty,1,1.087
flirtete,1,1.087
atmosphären,1,1.087
anfällig,1,1.087
verharmlosung,1,1.087
männerbündischen,1,1.087
sexismus,1,1.087
frauenfeindlichkeit,1,1.087
sublimes,1,1.087
„rauschen“,1,1.087
übergriffigkeit,1,1.087
seminaren,1,1.087
wahrgenommen,1,1.087
wer-,1,1.087
sprache,1,1.087
geschützten,1,1.087
soziotop,1,1.087
männerbundes,1,1.087
besonders,1,1.087
frauenfeindlich,1,1.087
frauenverachtend,1,1.087
manifestieren,1,1.087
sexistischer,1,1.087
abwertungen,1,1.087
aufgefordert,1,1.087
schoß,1,1.087
setzen,1,1.087
dreisten,1,1.087
sexualisierten,1,1.087
bemer-,1,1.087
kungen,1,1.087
annäherungsversuch,1,1.087
ge-,1,1.087
genstand,1,1.087
vorwürfe,1,1.087
chat-verläufe,1,1.087
weiblichen,1,1.087
minderjährigen,1,1.087
alter,1,1.087
14/15,1,1.087
jahren,1,1.087
beschuldigte,1,1.087
eigenen,1,1.087
angaben,1,1.087
liebesbeziehung,1,1.087
entwickelt,1,1.087
