term,frequency,percentage
jahre,6,11.538
1993,6,11.538
1987,4,7.692
1960er,4,7.692
1991,3,5.769
1980er,2,3.846
mitte,2,3.846
1984,2,3.846
jahren,2,3.846
ende,2,3.846
ab,2,3.846
1997,2,3.846
1970er,1,1.923
anfang,1,1.923
1999–2003,1,1.923
1989,1,1.923
2006,1,1.923
1985,1,1.923
or,1,1.923
nun-,1,1.923
mehr,1,1.923
drei,1,1.923
1990er-jahren,1,1.923
vergangenen,1,1.923
jah,1,1.923
1995,1,1.923
1990er,1,1.923
