term,frequency,percentage
druck,1,0.189
allerdings,1,0.189
weiß,1,0.189
eben,1,0.189
stellungnahme,1,0.189
person,1,0.189
angaben,1,0.189
geschrieben,1,0.189
wohl,1,0.189
abwarten,1,0.189
beobach-,1,0.189
staats-,1,0.189
anwaltschaft,1,0.189
später,1,0.189
lediglich,1,0.189
beleidigung,1,0.189
eingestuft,1,0.189
einsatz“,1,0.189
vertrauensseligkeit,1,0.189
krankenhausseelsorger,1,0.189
gefährlichkeits-,1,0.189
prognostischen,1,0.189
überlegungen,1,0.189
bedenken,1,0.189
„wir,1,0.189
klären,1,0.189
einbezogen,1,0.189
amt,1,0.189
stadtdechant,1,0.189
gespräch,1,0.189
informiert,1,0.189
zuletzt,1,0.189
fest,1,0.189
untersuchen,1,0.189
recher-,1,0.189
angestellt,1,0.189
könnten,1,0.189
prüfen,1,0.189
anhand,1,0.189
beschul-,1,0.189
digten,1,0.189
„zivilrechtl,1,0.189
verdächtig,1,0.189
dr,1,0.189
ausflüge,1,0.189
kom-,1,0.189
men,1,0.189
cum,1,0.189
kürzlich,1,0.189
rabenstein,1,0.189
mulieribus,1,0.189
ge-,1,0.189
sehen,1,0.189
anhal-,1,0.189
tender,1,0.189
„wenn,1,0.189
verfehlungen,1,0.189
drauf,1,0.189
laisierung,1,0.189
unkontrolliert,1,0.189
meldung,1,0.189
gegenüber,1,0.189
weniger,1,0.189
ta-,1,0.189
befasste,1,0.189
worten,1,0.189
witzen,1,0.189
usw.“,1,0.189
ranghohe,1,0.189
2010er,1,0.189
mitarbeiter,1,0.189
drohte,1,0.189
diözese,1,0.189
bozen-brixen,1,0.189
befinden,1,0.189
