term,frequency,percentage
sei,11,5.023
beschuldigte,5,2.283
tochter,4,1.826
anzeigenerstatterin,4,1.826
mehr,3,1.37
darüber,3,1.37
mädchen,3,1.37
bereits,3,1.37
wolle,3,1.37
ja,3,1.37
erlaubnis,2,0.913
betroffenen,2,0.913
gebeten,2,0.913
hand,2,0.913
gekommen,2,0.913
wies,2,0.913
hinaus,2,0.913
personen,2,0.913
ge-,2,0.913
wegen,2,0.913
vorwürfe,2,0.913
kontakt,2,0.913
scheinbar,1,0.457
geschildert,1,0.457
auto,1,0.457
mitfahren,1,0.457
dürfen,1,0.457
besorgungen,1,0.457
dekans,1,0.457
situation,1,0.457
frage,1,0.457
gespräch,1,0.457
…,1,0.457
„weil,1,0.457
zurücklägen,1,0.457
40,1,0.457
jahre,1,0.457
passiert,1,0.457
wollte.“,1,0.457
„vermeintlichen,1,0.457
vorfälle“,1,0.457
rer,1,0.457
pfar-,1,0.457
„keine,1,0.457
ahnung“,1,0.457
erinnern,1,0.457
gab,1,0.457
genommen,1,0.457
priester,1,0.457
verdeutlichen,1,0.457
sexualmoral,1,0.457
ratschläge,1,0.457
fragen,1,0.457
daran,1,0.457
anknüpfend,1,0.457
sexuellen,1,0.457
troffenen,1,0.457
erfahrungen,1,0.457
be-,1,0.457
bisherigen,1,0.457
erledigen,1,0.457
fahrt,1,0.457
überzeugt,1,0.457
umso,1,0.457
überrascht,1,0.457
vorgeworfen,1,0.457
gewollt,1,0.457
großes,1,0.457
missverständnis,1,0.457
könne,1,0.457
geschlechtsteile,1,0.457
zuvor,1,0.457
gefragt,1,0.457
tun,1,0.457
erhalten,1,0.457
gegangen,1,0.457
schlechtes,1,0.457
menschenrecht,1,0.457
langen,1,0.457
sprechen,1,0.457
anstatt,1,0.457
seien,1,0.457
abend,1,0.457
versöhnung,1,0.457
reichen,1,0.457
antwortete,1,0.457
heiligen,1,0.457
verboten,1,0.457
worden,1,0.457
bleibt,1,0.457
ande-,1,0.457
res,1,0.457
übrig,1,0.457
helfen,1,0.457
‚das,1,0.457
körper,1,0.457
kennenzulernen,1,0.457
ausdrücken,1,0.457
sympathie,1,0.457
neuer,1,0.457
vater,1,0.457
werfe,1,0.457
wohl,1,0.457
deren,1,0.457
eltern,1,0.457
gleich,1,0.457
polizei,1,0.457
gelaufen,1,0.457
bewusstsein,1,0.457
geholfen,1,0.457
getan,1,0.457
benötigen,1,0.457
schulunterricht,1,0.457
sprechen.«,1,0.457
vorher,1,0.457
schlafen,1,0.457
müssen,1,0.457
zusammen,1,0.457
»wenn,1,0.457
»jetzt,1,0.457
sein.«,1,0.457
ausweislich,1,0.457
wesen,1,0.457
aktenvermerks,1,0.457
kenne,1,0.457
volljährig,1,0.457
zeitpunkt,1,0.457
seit,1,0.457
jedoch,1,0.457
ferien,1,0.457
sommer-,1,0.457
ursprünglich,1,0.457
bitten,1,0.457
zustande,1,0.457
1982,1,0.457
nun-,1,0.457
drei,1,0.457
jahren,1,0.457
psychischen,1,0.457
krankheit,1,0.457
arzt,1,0.457
besagten,1,0.457
s,1,0.457
zeit,1,0.457
begleiten,1,0.457
verbindung,1,0.457
jugendamt,1,0.457
standen,1,0.457
daraufhin,1,0.457
bekannt,1,0.457
nervenarzt,1,0.457
vergangenheit,1,0.457
unbegründete,1,0.457
mehrere,1,0.457
erhoben,1,0.457
erklärte,1,0.457
liebe,1,0.457
eh,1,0.457
niemand,1,0.457
glauben,1,0.457
verliebt,1,0.457
erichtete,1,0.457
weiteren,1,0.457
intimen,1,0.457
verhältnissen,1,0.457
volljährigen,1,0.457
eigenen,1,0.457
angaben,1,0.457
liebesbeziehung,1,0.457
entwickelt,1,0.457
verhalten,1,0.457
erklärt,1,0.457
vorgehabt,1,0.457
bibel,1,0.457
vorzulesen,1,0.457
