term,frequency,percentage
situationen,2,8.696
pfarrer,1,4.348
d,1,4.348
mehrere,1,4.348
forcierte,1,4.348
denen,1,4.348
kindern,1,4.348
erwachsenen,1,4.348
gegenüber,1,4.348
entblößte,1,4.348
allein,1,4.348
morgens,1,4.348
nackt,1,4.348
rollläden,1,4.348
wohnzimmer,1,4.348
öffnen,1,4.348
uhrzeit,1,4.348
schulkinder,1,4.348
haus,1,4.348
vorbeilaufen,1,4.348
exhibitionismus,1,4.348
gedeutet,1,4.348
