term,frequency,percentage
berührt,6,3.315
priester,5,2.762
dabei,4,2.21
…,3,1.657
brüste,3,1.657
mund,3,1.657
halt,2,1.105
auto,2,1.105
händen,2,1.105
umarmt,2,1.105
ge-,2,1.105
hand,2,1.105
griffen,2,1.105
umarmungen,2,1.105
geküsst,2,1.105
küssen,2,1.105
schulmädchen,2,1.105
kleidung,2,1.105
brust,2,1.105
übergriffe,2,1.105
zunge,2,1.105
berührungen,2,1.105
braut,1,0.552
richterstatter,1,0.552
berührte,1,0.552
be-,1,0.552
anm,1,0.552
pudendu,1,0.552
schola,1,0.552
vestem,1,0.552
super,1,0.552
gendo,1,0.552
eius,1,0.552
tan-,1,0.552
fortiter,1,0.552
vergangen,1,0.552
schule,1,0.552
schamgegend,1,0.552
kräftig,1,0.552
greift,1,0.552
geschlechtsteile,1,0.552
langen,1,0.552
überall,1,0.552
könne,1,0.552
abge-,1,0.552
mehrmals,1,0.552
bücherei,1,0.552
genommen,1,0.552
schöne,1,0.552
gesagt,1,0.552
gasthaus,1,0.552
ministrantin,1,0.552
versucht,1,0.552
ferienlagers,1,0.552
rahmen,1,0.552
weise,1,0.552
sexueller,1,0.552
ten,1,0.552
bett,1,0.552
frauen,1,0.552
volljährigen,1,0.552
gegenüber,1,0.552
immer,1,0.552
wie-,1,0.552
legen,1,0.552
belästigendes,1,0.552
verhal-,1,0.552
mädchen,1,0.552
15jähriges,1,0.552
außerdem,1,0.552
zwungen,1,0.552
schulzeit,1,0.552
minderjährige,1,0.552
erlittenen,1,0.552
missbrauch,1,0.552
jahren,1,0.552
mitgenommen,1,0.552
nichte,1,0.552
welt…,1,0.552
öffentlich,1,0.552
bluse,1,0.552
gegriffen,1,0.552
pfarrer,1,0.552
hinten,1,0.552
beiden,1,0.552
geschlechtstei-,1,0.552
len,1,0.552
gefahren,1,0.552
hause,1,0.552
1960er,1,0.552
fasste,1,0.552
abgetastet,1,0.552
oberleibsbereich,1,0.552
be,1,0.552
»grabbel-problem«,1,0.552
schoß,1,0.552
gezogen,1,0.552
grabbelproblem,1,0.552
betastet,1,0.552
wandert,1,0.552
bewegt,1,0.552
merkt,1,0.552
unsittlich,1,0.552
ha-,1,0.552
küsse,1,0.552
pullover,1,0.552
unterm,1,0.552
sexuelle,1,0.552
»angegrabbelt«,1,0.552
»grabbelanton«,1,0.552
belästigung,1,0.552
sexualisierter,1,0.552
sexualisierten,1,0.552
eindringen,1,0.552
willen,1,0.552
opfers,1,0.552
legte,1,0.552
gleich,1,0.552
drauf,1,0.552
küsste,1,0.552
schob,1,0.552
fand,1,0.552
eklig,1,0.552
„packen,1,0.552
hintern“,1,0.552
„begreifen,1,0.552
kleinen,1,0.552
messdienerinnen“,1,0.552
ie,1,0.552
wurden,1,0.552
jedoch,1,0.552
im-,1,0.552
mer,1,0.552
intensiver,1,0.552
anfing,1,0.552
t-shirt,1,0.552
hen,1,0.552
berühren,1,0.552
intimen,1,0.552
genitalbe-,1,0.552
reich,1,0.552
stirn,1,0.552
«komischen,1,0.552
zunge»,1,0.552
nachthemden,1,0.552
beim,1,0.552
zubettgehen,1,0.552
