,term,frequency,percentage
0,frauen,2,2.273
1,sexuellen,2,2.273
2,frau,2,2.273
3,sei,2,2.273
4,vorwürfe,2,2.273
5,viele,1,1.136
6,mädchen,1,1.136
7,herum,1,1.136
8,hoffentlich,1,1.136
9,›ventil‹,1,1.136
10,genug,1,1.136
11,verleumdung,1,1.136
12,anton,1,1.136
13,p.s,1,1.136
14,probleme,1,1.136
15,hätten,1,1.136
16,priester,1,1.136
17,zähle,1,1.136
18,sic,1,1.136
19,kindheit,1,1.136
20,schwere,1,1.136
21,verweist,1,1.136
22,mutter,1,1.136
23,mexikanische,1,1.136
24,missbrauch,1,1.136
25,u,1,1.136
26,vater,1,1.136
27,»psychisch,1,1.136
28,deshalb,1,1.136
29,spricht,1,1.136
30,angeschlagen«,1,1.136
31,sinngemäß,1,1.136
32,»psycho-clan«,1,1.136
33,jungen,1,1.136
34,deutet,1,1.136
35,sug-,1,1.136
36,geriere,1,1.136
37,ie,1,1.136
38,risiko,1,1.136
39,unterstellung,1,1.136
40,mangelnden,1,1.136
41,glaubwürdigkei,1,1.136
42,üble,1,1.136
43,nachrede,1,1.136
44,vulnerables,1,1.136
45,ganze,1,1.136
46,sinne,1,1.136
47,pubertären,1,1.136
48,haltung,1,1.136
49,werten,1,1.136
50,übergriffe,1,1.136
51,misstrauen,1,1.136
52,mangelnde,1,1.136
53,anliegens,1,1.136
54,glaubwürdigkeit,1,1.136
55,bekannt,1,1.136
56,anzeigenerstatterin,1,1.136
57,bereits,1,1.136
58,interpretiert,1,1.136
59,vergangenheit,1,1.136
60,unbegründete,1,1.136
61,mehrere,1,1.136
62,personen,1,1.136
63,erhoben,1,1.136
64,sprechen,1,1.136
65,muß,1,1.136
66,machte,1,1.136
67,unglaubwürdigen,1,1.136
68,ein-,1,1.136
69,druck,1,1.136
70,allerdings,1,1.136
71,weiß,1,1.136
72,eben,1,1.136
73,nie,1,1.136
74,eh,1,1.136
75,niemand,1,1.136
76,glauben,1,1.136
77,ass,1,1.136
78,anzeigeerstatter,1,1.136
79,wiederholt,1,1.136
80,unberech-,1,1.136
81,tigte,1,1.136
82,erheben,1,1.136
