,term,frequency,percentage
0,gemeinschaften,5,3.704
1,pfarrer,4,2.963
2,putzdienste,3,2.222
3,orden,3,2.222
4,pfarrei,3,2.222
5,kooperator,2,1.481
6,damals,2,1.481
7,p,2,1.481
8,anton,2,1.481
9,rahmen,2,1.481
10,messdienerin-,2,1.481
11,ähnlichen,2,1.481
12,mitglied,2,1.481
13,nen,2,1.481
14,köln,2,1.481
15,seelsorgerische,2,1.481
16,aufgaben,2,1.481
17,ordens­,2,1.481
18,spiritual,2,1.481
19,verrichtete,2,1.481
20,schule,2,1.481
21,tätig,2,1.481
22,religions-,2,1.481
23,messdienerinnen,2,1.481
24,oberschule,1,0.741
25,einsatzort,1,0.741
26,mittelschulklasse,1,0.741
27,kam,1,0.741
28,haus,1,0.741
29,beklagte,1,0.741
30,zuständigen,1,0.741
31,freundliche,1,0.741
32,direktor,1,0.741
33,pfar-,1,0.741
34,beziehun-,1,0.741
35,herrn,1,0.741
36,häuserin,1,0.741
37,rers,1,0.741
38,gen,1,0.741
39,dertagesstätte,1,0.741
40,jugendarbeit,1,0.741
41,mitarbeiterin,1,0.741
42,kin-,1,0.741
43,erwachsenenseelsorge,1,0.741
44,vermutlich,1,0.741
45,notiz,1,0.741
46,pfarramtes,1,0.741
47,ferienlagers,1,0.741
48,unterricht,1,0.741
49,verhältnis,1,0.741
50,mittelschule,1,0.741
51,häuse-,1,0.741
52,rin,1,0.741
53,gruppenleiterin,1,0.741
54,verrichtet,1,0.741
55,teilnahm,1,0.741
56,rsprünglich,1,0.741
57,sei,1,0.741
58,kontakt,1,0.741
59,praktikum,1,0.741
60,wohnung,1,0.741
61,kindertagesstätte,1,0.741
62,»guter,1,0.741
63,hirt«,1,0.741
64,beichte,1,0.741
65,eitete,1,0.741
66,koedukative,1,0.741
67,arbeitsgemeinschaft,1,0.741
68,oberstufe,1,0.741
69,frau,1,0.741
70,k,1,0.741
71,psychischen,1,0.741
72,wegen,1,0.741
73,tochter,1,0.741
74,gebeten,1,0.741
75,jahren,1,0.741
76,drei,1,0.741
77,mehr,1,0.741
78,nun-,1,0.741
79,gekommen,1,0.741
80,zustande,1,0.741
81,anzeigenerstatterin,1,0.741
82,bitten,1,0.741
83,leiter,1,0.741
84,arzt,1,0.741
85,begleiten,1,0.741
86,krankheit,1,0.741
87,bistums,1,0.741
88,erz-,1,0.741
89,realschule,1,0.741
90,lehrer,1,0.741
91,pfadfindergruppe,1,0.741
92,erzbistum,1,0.741
93,gemeinde,1,0.741
94,ähnliche,1,0.741
95,bewegungen,1,0.741
96,liche,1,0.741
97,geist­,1,0.741
98,neue,1,0.741
99,frauengemeinschaften,1,0.741
100,ordensgemeinschaft,1,0.741
101,religiösen,1,0.741
102,religiöse,1,0.741
