,term,frequency,percentage
0,p,20,2.286
1,anton,18,2.057
2,sei,16,1.829
3,frau,12,1.371
4,sexuellen,8,0.914
5,priester,7,0.8
6,missbrauch,6,0.686
7,beschuldigte,6,0.686
8,vorwürfe,6,0.686
9,später,5,0.571
10,–,5,0.571
11,u,4,0.457
12,mädchen,4,0.457
13,leugnet,4,0.457
14,darin,4,0.457
15,jedoch,4,0.457
16,entlassung,3,0.343
17,wurden,3,0.343
18,umarmungen,3,0.343
19,jungen,3,0.343
20,wolle,3,0.343
21,vater,3,0.343
22,übergriffe,3,0.343
23,gab,3,0.343
24,deshalb,3,0.343
25,räumte,3,0.343
26,jahre,3,0.343
27,hildesheim,3,0.343
28,erklärte,3,0.343
29,kontext,3,0.343
30,druck,3,0.343
31,zeit,3,0.343
32,konnte,3,0.343
33,ver-,3,0.343
34,körper,3,0.343
35,großeltern,3,0.343
36,wohl,3,0.343
37,hause,3,0.343
38,treffen,3,0.343
39,mehrere,3,0.343
40,ges«,2,0.229
41,gesehen,2,0.229
42,beziehungen,2,0.229
43,weiterhin,2,0.229
44,erneut,2,0.229
45,pfarrhaus,2,0.229
46,leben,2,0.229
47,bereits,2,0.229
48,zwei,2,0.229
49,gibt,2,0.229
50,»nach,2,0.229
51,betroffenen,2,0.229
52,führte,2,0.229
53,unterstellt,2,0.229
54,angeschlagen«,2,0.229
55,wunsch,2,0.229
56,körperlicher,2,0.229
57,gesprächen,2,0.229
58,nähe,2,0.229
59,domkapitular,2,0.229
60,ausgegangen,2,0.229
61,verweist,2,0.229
62,bitte,2,0.229
63,hand,2,0.229
64,gebunden,2,0.229
65,schwere,2,0.229
66,kindheit,2,0.229
67,deutet,2,0.229
68,verführt,2,0.229
69,bischof,2,0.229
70,recht,2,0.229
71,homeyer,2,0.229
72,gesetzt,2,0.229
73,»psychisch,2,0.229
74,bistum,2,0.229
75,gemeinde,2,0.229
76,eindruck,2,0.229
77,spricht,2,0.229
78,lebt,2,0.229
79,betroffene,2,0.229
80,ja,2,0.229
81,mithilfe,2,0.229
82,junge,2,0.229
83,helfen,2,0.229
84,immer,2,0.229
85,denen,2,0.229
86,macht,2,0.229
87,last,2,0.229
88,gelegten,2,0.229
89,probleme,2,0.229
90,geschenke,2,0.229
91,gemacht,2,0.229
92,deutlich,2,0.229
93,besuchen,2,0.229
94,rahmen,2,0.229
95,»nichts,2,0.229
96,mutter,2,0.229
97,anfangs,2,0.229
98,ging,2,0.229
99,abarti-,2,0.229
100,geleugnet,2,0.229
101,berührte,2,0.229
102,penis,2,0.229
103,erlaubnis,2,0.229
104,verhalten,2,0.229
105,gefügig,2,0.229
106,zurück,2,0.229
107,gegangen,1,0.114
108,bewusstsein,1,0.114
109,geholfen,1,0.114
110,umso,1,0.114
111,mehr,1,0.114
112,überrascht,1,0.114
113,vorgeworfen,1,0.114
114,gewollt,1,0.114
115,großes,1,0.114
116,missverständnis,1,0.114
117,werfe,1,0.114
118,deren,1,0.114
119,eltern,1,0.114
120,gleich,1,0.114
121,polizei,1,0.114
122,gelaufen,1,0.114
123,seien,1,0.114
124,anstatt,1,0.114
125,sprechen,1,0.114
126,heiligen,1,0.114
127,abend,1,0.114
128,versöhnung,1,0.114
129,reichen,1,0.114
130,sexuelle,1,0.114
131,handlun-,1,0.114
132,gen,1,0.114
133,damaligem,1,0.114
134,minderjährigen,1,0.114
135,jahrzehnte,1,0.114
136,einräumte,1,0.114
137,vermittelte,1,0.114
138,schwul,1,0.114
139,erhalten,1,0.114
140,orden,1,0.114
141,3.04.1995,1,0.114
142,mitteilung,1,0.114
143,bereit,1,0.114
144,inkardinieren,1,0.114
145,15.04.1995,1,0.114
146,jesuitenorden,1,0.114
147,17.11.1995,1,0.114
148,inkardination,1,0.114
149,kennenzulernen,1,0.114
150,sympathie,1,0.114
151,ausdrücken,1,0.114
152,klare,1,0.114
153,aussagen,1,0.114
154,einzelner,1,0.114
155,betroffener,1,0.114
156,praxis,1,0.114
157,wochen,1,0.114
158,abflug,1,0.114
159,mexiko,1,0.114
160,aufgegeben,1,0.114
161,lud,1,0.114
162,chilenische,1,0.114
163,wohnen,1,0.114
164,tochter,1,0.114
165,»vertrau-,1,0.114
166,liches,1,0.114
167,gespräch«,1,0.114
168,persönlich,1,0.114
169,sagen,1,0.114
170,hildes-,1,0.114
171,heim,1,0.114
172,»jetzt,1,0.114
173,neuer,1,0.114
174,sein.«,1,0.114
175,»wenn,1,0.114
176,zusammen,1,0.114
177,schlafen,1,0.114
178,müssen,1,0.114
179,vorher,1,0.114
180,darüber,1,0.114
181,sprechen.«,1,0.114
182,schulunterricht,1,0.114
183,benötigen,1,0.114
184,unmittelbarer,1,0.114
185,folge,1,0.114
186,versetzung,1,0.114
187,bat,1,0.114
188,exklaustration,1,0.114
189,fakten,1,0.114
190,entscheidung,1,0.114
191,führten,1,0.114
192,weder,1,0.114
193,a,1,0.114
194,jugendlichen,1,0.114
195,nachdem,1,0.114
196,vorgeworfenen,1,0.114
197,unschuld,1,0.114
198,betont,1,0.114
199,werner,1,0.114
200,langen,1,0.114
201,gespräch,1,0.114
202,dr,1,0.114
203,vielen,1,0.114
204,weiterführenden,1,0.114
205,hr,1,0.114
206,holst,1,0.114
207,nunmehr,1,0.114
208,gesellschaft,1,0.114
209,jesu,1,0.114
210,option,1,0.114
211,dienst,1,0.114
212,diözese,1,0.114
213,aufgenommen,1,0.114
214,werden.«,1,0.114
215,bestätigt,1,0.114
216,version,1,0.114
217,t,1,0.114
218,hinsicht-,1,0.114
219,lich,1,0.114
220,vorfalls,1,0.114
221,berliner,1,0.114
222,hotelzimmer,1,0.114
223,hinsichtlich,1,0.114
224,schreibt,1,0.114
225,nächs-,1,0.114
226,ten,1,0.114
227,tagen,1,0.114
228,briefe,1,0.114
229,aschemann,1,0.114
230,sachverhalt,1,0.114
231,sicht,1,0.114
232,darzustellen,1,0.114
233,sinngemäß,1,0.114
234,»psycho-clan«,1,0.114
235,frauen,1,0.114
236,sug-,1,0.114
237,geriere,1,0.114
238,bittet,1,0.114
239,zumindest,1,0.114
240,aufschub,1,0.114
241,entpflichtung,1,0.114
242,aufgaben,1,0.114
243,»guten,1,0.114
244,hirten«,1,0.114
245,vielfalt,1,0.114
246,geplanten,1,0.114
247,aktivitäten,1,0.114
248,begründet,1,0.114
249,strategie,1,0.114
250,be-,1,0.114
251,reits,1,0.114
252,1995,1,0.114
253,gewünschten,1,0.114
254,erfolg,1,0.114
255,geführt,1,0.114
256,dabei,1,0.114
257,som-,1,0.114
258,merferien,1,0.114
259,»mit,1,0.114
260,großen,1,0.114
261,gruppen,1,0.114
262,kindern,1,0.114
263,unterwegs«,1,0.114
264,zugab,1,0.114
265,bzw,1,0.114
266,herunterspielte,1,0.114
267,nton,1,0.114
268,bestreitet,1,0.114
269,darstellungen,1,0.114
270,u.s,1,0.114
271,holst«,1,0.114
272,darum,1,0.114
273,gebeten,1,0.114
274,»aus,1,0.114
275,persönlichen,1,0.114
276,gründen«,1,0.114
277,beurlaubt,1,0.114
278,ende,1,0.114
279,gottesdienstes,1,0.114
280,teilt,1,0.114
281,gesundheitlichen,1,0.114
282,gründen,1,0.114
283,verlässt,1,0.114
284,voll,1,0.114
285,ganz,1,0.114
286,diakon,1,0.114
287,n,1,0.114
288,äußert,1,0.114
289,interview,1,0.114
290,ein-,1,0.114
291,teuren,1,0.114
292,anschaffungen,1,0.114
293,»system,1,0.114
294,belohnung«,1,0.114
295,errichtete,1,0.114
296,seite,1,0.114
297,standen,1,0.114
298,verstrickt,1,0.114
299,annahme,1,0.114
300,wonach,1,0.114
301,sexualisierter,1,0.114
302,gewalt,1,0.114
303,mitwisser,1,0.114
304,»belohnungen«,1,0.114
305,schweigen,1,0.114
306,gebracht,1,0.114
307,drängt,1,0.114
308,zweifelsfrei,1,0.114
309,verifiziert,1,0.114
310,entsteht,1,0.114
311,gewisser,1,0.114
312,weise,1,0.114
313,außerhalb,1,0.114
314,bürgerlichen,1,0.114
315,gesell-,1,0.114
316,schaftsordnung,1,0.114
317,positionierte,1,0.114
318,engagierter,1,0.114
319,kämpfer,1,0.114
320,belange,1,0.114
321,»armen,1,0.114
322,entrechte-,1,0.114
323,ten«,1,0.114
324,»gute«,1,0.114
325,ständiger,1,0.114
326,anklage,1,0.114
327,ungerechten,1,0.114
328,verhältnisse,1,0.114
329,kirchlichen,1,0.114
330,erhält,1,0.114
331,dafür,1,0.114
332,anerkennung,1,0.114
333,se­,1,0.114
334,»antibürgerlichen«,1,0.114
335,weltsicht,1,0.114
336,stellt,1,0.114
337,vermutlich,1,0.114
338,beziehungs-,1,0.114
339,sexualverhalten,1,0.114
340,nimmt,1,0.114
341,heraus,1,0.114
342,weiß,1,0.114
343,verboten,1,0.114
344,bekennt,1,0.114
345,verlangen,1,0.114
346,kartoffeln,1,0.114
347,stehlen,1,0.114
348,ginge,1,0.114
349,armen,1,0.114
350,etikett,1,0.114
351,anheftet,1,0.114
352,»besonders,1,0.114
353,sozial«,1,0.114
354,überschreitet,1,0.114
355,verspätet,1,0.114
356,weltverständnis,1,0.114
357,gemäß,1,0.114
358,her-,1,0.114
359,ausnimmt,1,0.114
360,minderjährige,1,0.114
361,versprach,1,0.114
362,erwachsene,1,0.114
363,sexuell,1,0.114
364,auszubeuten,1,0.114
365,grenzen,1,0.114
366,dissozialität,1,0.114
367,ass,1,0.114
368,»so-,1,0.114
369,fort,1,0.114
370,vehement,1,0.114
371,jugendarbeit,1,0.114
372,hineindrängte«,1,0.114
373,fahrten,1,0.114
374,canisiuskolleg,1,0.114
375,2010,1,0.114
376,wiederholt,1,0.114
377,künftig,1,0.114
378,dy-,1,0.114
379,namik,1,0.114
380,innerhalb,1,0.114
381,unterstützung,1,0.114
382,menschen,1,0.114
383,rechnen,1,0.114
384,unterlassen,1,0.114
385,seelsorgerischen,1,0.114
386,engagements,1,0.114
387,teil,1,0.114
388,geradezu,1,0.114
