,term,frequency,percentage
0,sei,41,1.529
1,…,35,1.305
2,mädchen,28,1.044
3,priester,27,1.007
4,frau,26,0.97
5,jahre,19,0.709
6,anton,15,0.559
7,mehr,14,0.522
8,k,13,0.485
9,wurde,12,0.448
10,p,11,0.41
11,mal,11,0.41
12,immer,11,0.41
13,worden,10,0.373
14,ge-,10,0.373
15,pfarrer,10,0.373
16,missbrauch,10,0.373
17,sexuellen,10,0.373
18,hätte,10,0.373
19,schon,9,0.336
20,dabei,9,0.336
21,frauen,9,0.336
22,darüber,9,0.336
23,ja,9,0.336
24,tochter,9,0.336
25,beschuldigte,9,0.336
26,seien,8,0.298
27,weiteren,8,0.298
28,beschuldigten,8,0.298
29,gespräch,8,0.298
30,jahr,7,0.261
31,rahmen,7,0.261
32,wohl,7,0.261
33,kirche,6,0.224
34,priesters,6,0.224
35,gegeben,6,0.224
36,jahren,6,0.224
37,erhalten,6,0.224
38,gegenüber,6,0.224
39,–,6,0.224
40,missbrauchsbeauftragten,6,0.224
41,vier,6,0.224
42,be-,6,0.224
43,mutter,6,0.224
44,jedoch,6,0.224
45,damals,6,0.224
46,berichtete,6,0.224
47,/,6,0.224
48,gesagt,6,0.224
49,müssen,6,0.224
50,sache,5,0.186
51,dadurch,5,0.186
52,sexuelle,5,0.186
53,gleich,5,0.186
54,verhalten,5,0.186
55,gut,5,0.186
56,bereits,5,0.186
57,hand,5,0.186
58,betroffenen,5,0.186
59,nie,5,0.186
60,hätten,5,0.186
61,später,5,0.186
62,anfang,5,0.186
63,davon,5,0.186
64,frage,5,0.186
65,wegen,5,0.186
66,gekommen,5,0.186
67,vorwürfe,5,0.186
68,1970er,5,0.186
69,kontakt,5,0.186
70,gibt,5,0.186
71,zeit,5,0.186
72,men,5,0.186
73,konnte,5,0.186
74,drei,4,0.149
75,haus,4,0.149
76,kam,4,0.149
77,laut,4,0.149
78,bekannt,4,0.149
79,gefragt,4,0.149
80,s,4,0.149
81,körper,4,0.149
82,weitere,4,0.149
83,folge,4,0.149
84,angaben,4,0.149
85,u,4,0.149
86,gesprochen,4,0.149
87,hause,4,0.149
88,geld,4,0.149
89,anzeigenerstatterin,4,0.149
90,herrn,4,0.149
91,gab,4,0.149
92,treffen,4,0.149
93,missbrauchsbeauftragte,4,0.149
94,hinaus,4,0.149
95,betroffene,4,0.149
96,erlebt,4,0.149
97,wurden,4,0.149
98,wissen,4,0.149
99,gemeinde,4,0.149
100,verhältnis,4,0.149
101,gemeldet,4,0.149
102,umgang,4,0.149
103,seite,4,0.149
104,ver-,4,0.149
105,chen,4,0.149
106,dekan,4,0.149
107,gehabt,4,0.149
108,beziehungen,4,0.149
109,sic,4,0.149
110,2,4,0.149
111,wann,4,0.149
112,wolle,3,0.112
113,thema,3,0.112
114,berührungen,3,0.112
115,zwei,3,0.112
116,sexuell,3,0.112
117,bischof,3,0.112
118,weihbischof,3,0.112
119,mund,3,0.112
120,spricht,3,0.112
121,sprechen,3,0.112
122,versetzt,3,0.112
123,daraufhin,3,0.112
124,gespräche,3,0.112
125,wäre,3,0.112
126,übergriffe,3,0.112
127,5,3,0.112
128,berührte,3,0.112
129,weit,3,0.112
130,erfahren,3,0.112
131,wenig,3,0.112
132,an-,3,0.112
133,gesprächs,3,0.112
134,gestellt,3,0.112
135,genommen,3,0.112
136,anm,3,0.112
137,fragen,3,0.112
138,ging,3,0.112
139,alt,3,0.112
140,gesprächen,3,0.112
141,völlig,3,0.112
142,wiederholt,3,0.112
143,meldete,3,0.112
144,berührt,3,0.112
145,1990er,3,0.112
146,bekommen,3,0.112
147,fest,3,0.112
148,sexueller,3,0.112
149,„[…,3,0.112
150,diözese,3,0.112
151,eltern,3,0.112
152,anstatt,3,0.112
153,aufgrund,3,0.112
154,ten,3,0.112
155,machte,3,0.112
156,wohnung,3,0.112
157,verlauf,3,0.112
158,mitte,3,0.112
159,unterlagen,3,0.112
160,klasse,3,0.112
161,vorwurf,3,0.112
162,versucht,3,0.112
163,ganz,3,0.112
164,promemoria,3,0.112
165,b,3,0.112
166,melden,3,0.112
167,dekans,3,0.112
168,passiert,3,0.112
169,protokolle,3,0.112
170,begonnen,3,0.112
171,hauptsächlich,3,0.112
172,pfar-,3,0.112
173,ebenso,3,0.112
174,kinder,3,0.112
175,angerufen,3,0.112
176,klar,3,0.112
177,seit,3,0.112
178,pfarrei,3,0.112
179,anschein,3,0.112
180,geholfen,3,0.112
181,gegangen,3,0.112
182,lang,3,0.112
183,kind,3,0.112
184,sehen,3,0.112
185,zeitzeugen,3,0.112
186,hinweis,2,0.075
187,ganze,2,0.075
188,angefangen,2,0.075
189,bestimmt,2,0.075
190,gekreist,2,0.075
191,bongartz,2,0.075
192,kontext,2,0.075
193,fandest,2,0.075
194,im-,2,0.075
195,mer,2,0.075
196,nein,2,0.075
197,finden,2,0.075
198,zusammenhang,2,0.075
199,grunde,2,0.075
200,-,2,0.075
201,öffentlich,2,0.075
202,versetzung,2,0.075
203,er-,2,0.075
204,erzbistums,2,0.075
205,schule,2,0.075
206,allein,2,0.075
207,p.s,2,0.075
208,bistum,2,0.075
209,unverständlicherweise,2,0.075
210,hen,2,0.075
211,…].“,2,0.075
212,4,2,0.075
213,überall,2,0.075
214,bücherei,2,0.075
215,besser,2,0.075
216,geworden,2,0.075
217,klären,2,0.075
218,mehrere,2,0.075
219,heute,2,0.075
220,weiß,2,0.075
221,standen,2,0.075
222,denen,2,0.075
223,erinnerung,2,0.075
224,geführt,2,0.075
225,intensiver,2,0.075
226,bestätigt,2,0.075
227,bitten,2,0.075
228,küsste,2,0.075
229,can,2,0.075
230,cic,2,0.075
231,strafe,2,0.075
232,ende,2,0.075
233,wilhelm,2,0.075
234,egger,2,0.075
235,warum,2,0.075
236,ein-,2,0.075
237,gebot,2,0.075
238,chile,2,0.075
239,m,2,0.075
240,ansätze,2,0.075
241,arbeit,2,0.075
242,neue,2,0.075
243,druck,2,0.075
244,kontakte,2,0.075
245,minderjährigen,2,0.075
246,hoffentlich,2,0.075
247,meldung,2,0.075
248,zu-,2,0.075
249,bozen-brixen,2,0.075
250,mitschülerinnen,2,0.075
251,erwachsenen,2,0.075
252,z,2,0.075
253,gen,2,0.075
254,ansehen,2,0.075
255,3,2,0.075
256,institution,2,0.075
257,unterstützung,2,0.075
258,wb,2,0.075
259,begleitung,2,0.075
260,damaligen,2,0.075
261,informiert,2,0.075
262,angezeigt,2,0.075
263,fand,2,0.075
264,vergangen,2,0.075
265,2010er,2,0.075
266,generalvikar,2,0.075
267,matzneller,2,0.075
268,köln,2,0.075
269,drauf,2,0.075
270,fälle,2,0.075
271,abstossender,2,0.075
272,aufdringlichkeit,2,0.075
273,vorkommnisse,2,0.075
274,hannover,2,0.075
275,geschehen,2,0.075
276,d.h,2,0.075
277,junge,2,0.075
278,rom,2,0.075
279,vorher,2,0.075
280,bewegt,2,0.075
281,halt,2,0.075
282,verjährt,2,0.075
283,muß,2,0.075
284,insgesamt,2,0.075
285,unternommen,2,0.075
286,mexiko,2,0.075
287,meisten,2,0.075
288,erklärt,2,0.075
289,händen,2,0.075
290,brüste,2,0.075
291,schließlich,2,0.075
292,ist.“,2,0.075
293,18,2,0.075
294,einge-,2,0.075
295,fasste,2,0.075
296,fall,2,0.075
297,zusammen,2,0.075
298,grund,2,0.075
299,2010,2,0.075
300,missbrauchstäter,2,0.075
301,r,2,0.075
302,leben,2,0.075
303,irgendwie,2,0.075
304,annähernd,2,0.075
305,sowas,2,0.075
306,liegt,2,0.075
307,kopf,2,0.075
308,guter,2,0.075
309,6,2,0.075
310,e,2,0.075
311,1,2,0.075
312,mißbrauch,2,0.075
313,penis,2,0.075
314,vertrauen,2,0.075
315,wisse,2,0.075
316,brixen,2,0.075
317,stellte,2,0.075
318,zeitpunkt,2,0.075
319,v,2,0.075
320,kin-,2,0.075
321,dern,2,0.075
322,teilte,2,0.075
323,arzt,2,0.075
324,sorgen,2,0.075
325,unangemessenen,2,0.075
326,jungen,2,0.075
327,bleibt,2,0.075
328,geschlecht,2,0.075
329,verboten,2,0.075
330,16,2,0.075
331,haltung,2,0.075
332,umarmungen,2,0.075
333,anfangs,2,0.075
334,bitte,2,0.075
335,liebe,2,0.075
336,verfasser,2,0.075
337,da-,2,0.075
338,situation,2,0.075
339,gebeten,2,0.075
340,auto,2,0.075
341,glauben,2,0.075
342,herum,2,0.075
343,viele,2,0.075
344,probleme,2,0.075
345,möchte,2,0.075
346,personen,2,0.075
347,sagte,2,0.075
348,wies,2,0.075
349,kenne,2,0.075
350,unterhalten,2,0.075
351,beim,2,0.075
352,miss-,2,0.075
353,nen,2,0.075
354,missbrauchs,2,0.075
355,erhob,2,0.075
356,missbraucht,2,0.075
357,zunächst,2,0.075
358,könne,2,0.075
359,summen,2,0.075
360,vergeude,2,0.075
361,kostspielige,2,0.075
362,getränke,2,0.075
363,ministrantin,2,0.075
364,‚jungen,2,0.075
365,damen‘,2,0.075
366,berichtet,2,0.075
367,rers,2,0.075
368,vergnügungsveranstaltungen,2,0.075
369,sinnlos,2,0.075
370,beträchtliche,2,0.075
371,weise,2,0.075
372,stellt,2,0.075
373,zuständigen,2,0.075
374,hält,2,0.075
375,kommen,2,0.075
376,versöhnung,2,0.075
377,gesehen,2,0.075
378,nebenraum,2,0.075
379,gespielt,2,0.075
380,befinden,2,0.075
381,wochen,2,0.075
382,kloster,2,0.075
383,küssen,2,0.075
384,gestern,2,0.075
385,ministranten,2,0.075
386,volljährigen,2,0.075
387,buben,2,0.075
388,hinzuweisen,2,0.075
389,geht,2,0.075
390,jedenfalls,2,0.075
391,gemacht,2,0.075
392,deshalb,2,0.075
393,dummheiten,2,0.075
394,zuvor,2,0.075
395,erlaubnis,2,0.075
396,tun,2,0.075
397,akt,2,0.075
398,bewusstsein,2,0.075
399,erst,2,0.075
400,zunge,2,0.075
401,massiv,2,0.075
402,welt,2,0.075
403,zimmer,2,0.075
404,kom-,2,0.075
405,zurecht-,2,0.075
406,pflicht,2,0.075
407,nähe,2,0.075
408,weiblichen,2,0.075
409,ausdruck,2,0.075
410,ländlichen,2,0.075
411,gebieten,2,0.075
412,sogar,2,0.075
413,deutlich,2,0.075
414,etwa,2,0.075
415,wollten,1,0.037
416,besonders,1,0.037
417,intelligent,1,0.037
418,könne“,1,0.037
419,anlass,1,0.037
420,redereien,1,0.037
421,ungeschicklichkeiten,1,0.037
422,benehmen,1,0.037
423,geschlechte,1,0.037
424,schulkindern,1,0.037
425,zuwenig,1,0.037
426,2008,1,0.037
427,schlittenfahrten,1,0.037
428,selten,1,0.037
429,ausflüge,1,0.037
430,kürzlich,1,0.037
431,rabenstein,1,0.037
432,zivil,1,0.037
433,umgangsformen,1,0.037
434,leuten,1,0.037
435,rah-,1,0.037
436,persönlichen,1,0.037
437,alter,1,0.037
438,tat,1,0.037
439,länger,1,0.037
440,zulässig,1,0.037
441,einladungen,1,0.037
442,winter,1,0.037
443,10,1,0.037
444,eigenen,1,0.037
445,liebesbeziehung,1,0.037
446,entwickelt,1,0.037
447,27-jährige,1,0.037
448,brauchs,1,0.037
449,beschuldige,1,0.037
450,anvertraut,1,0.037
451,heranwachsenden,1,0.037
452,mäd-,1,0.037
453,jugendschar,1,0.037
454,führerinnen,1,0.037
455,helfen“,1,0.037
456,2020er,1,0.037
457,om-,1,0.037
458,budsstelle,1,0.037
459,seinerseits,1,0.037
460,15jähriges,1,0.037
461,mitgenommen,1,0.037
462,kooperatorenbericht,1,0.037
463,geplanten,1,0.037
464,heißt,1,0.037
465,„nicht,1,0.037
466,klug,1,0.037
467,gelaufen,1,0.037
468,heiligen,1,0.037
469,abend,1,0.037
470,reichen,1,0.037
471,schreiben,1,0.037
472,angeheftet,1,0.037
473,undatiertes,1,0.037
474,darin,1,0.037
475,zunge»,1,0.037
476,griffen,1,0.037
477,nachthemden,1,0.037
478,zubettgehen,1,0.037
479,kindern,1,0.037
480,wie­,1,0.037
481,deren,1,0.037
482,polizei,1,0.037
483,langen,1,0.037
484,getan,1,0.037
485,überzeugt,1,0.037
486,schlechtes,1,0.037
487,menschenrecht,1,0.037
488,umso,1,0.037
489,überrascht,1,0.037
490,vorgeworfen,1,0.037
491,14-,1,0.037
492,troffenen,1,0.037
493,anknüpfend,1,0.037
494,daran,1,0.037
495,ratschläge,1,0.037
496,sexualmoral,1,0.037
497,verdeutlichen,1,0.037
498,geschlechtsteile,1,0.037
499,zehn,1,0.037
500,ferienlagers,1,0.037
501,bett,1,0.037
502,legen,1,0.037
503,außerdem,1,0.037
504,kenntnis,1,0.037
505,religions-,1,0.037
506,unterricht,1,0.037
507,diözese-brixen,1,0.037
508,spaziergängen,1,0.037
509,themen,1,0.037
510,gespro-,1,0.037
511,vorfälle,1,0.037
512,ereignet,1,0.037
513,12,1,0.037
514,zudem,1,0.037
515,mai,1,0.037
516,jahres,1,0.037
517,minist-,1,0.037
518,ranten,1,0.037
519,umarmen,1,0.037
520,calcetto,1,0.037
521,ausziehen,1,0.037
522,selber,1,0.037
523,schwer,1,0.037
524,angeschlagene,1,0.037
525,vermutlich,1,0.037
526,tätig,1,0.037
527,belästigendes,1,0.037
528,verhal-,1,0.037
529,aufgefallen,1,0.037
530,„seit,1,0.037
531,späten,1,0.037
532,genannten,1,0.037
533,bürger-,1,0.037
534,meister,1,0.037
535,stammt,1,0.037
536,hervor,1,0.037
537,körperlich,1,0.037
538,geistig,1,0.037
539,gewollt,1,0.037
540,großes,1,0.037
541,missverständnis,1,0.037
542,werfe,1,0.037
543,15jährigen,1,0.037
544,andeutungen,1,0.037
545,personalakten,1,0.037
546,enthaltenen,1,0.037
547,les,1,0.037
548,symptome,1,0.037
549,bestimmten,1,0.037
550,zustand.“,1,0.037
551,„ich,1,0.037
552,schuld,1,0.037
553,nichtschuld,1,0.037
554,unter-,1,0.037
555,kleines,1,0.037
556,gummischwimmbad,1,0.037
557,aufge-,1,0.037
558,schwimmen,1,0.037
559,beabsichtigt,1,0.037
560,fertig,1,0.037
561,hingehen,1,0.037
562,al-,1,0.037
563,umarmt,1,0.037
564,wie-,1,0.037
565,geküsst,1,0.037
566,krankenpflegeschülerin,1,0.037
567,möge,1,0.037
568,fernseh,1,0.037
569,schauen,1,0.037
570,balkon,1,0.037
571,ausgezogen,1,0.037
572,bub,1,0.037
573,schlechtsteilen,1,0.037
574,herumgreifen,1,0.037
575,regelrecht,1,0.037
576,davongelaufen,1,0.037
577,samstag,1,0.037
578,frl,1,0.037
579,dürfen,1,0.037
580,besorgungen,1,0.037
581,erledigen,1,0.037
582,fahrt,1,0.037
583,bisherigen,1,0.037
584,erfahrungen,1,0.037
585,klüger,1,0.037
586,brüderlicher,1,0.037
587,zuständige,1,0.037
588,gesagten,1,0.037
589,reden.“,1,0.037
590,„weil,1,0.037
591,scheinbar,1,0.037
592,wollte.“,1,0.037
593,geschildert,1,0.037
594,mitfahren,1,0.037
595,unterredung,1,0.037
596,betreffend,1,0.037
597,überlegt,1,0.037
598,geistlichen,1,0.037
599,zähle,1,0.037
600,weihnachten,1,0.037
601,aussprachen,1,0.037
602,ausgebucht,1,0.037
603,suchen,1,0.037
604,dorf,1,0.037
605,gerede,1,0.037
606,wirken,1,0.037
607,möglich“,1,0.037
608,„im,1,0.037
609,anschluss,1,0.037
610,gestrige,1,0.037
611,übrig,1,0.037
612,„hang,1,0.037
613,einfach,1,0.037
614,verbergen“,1,0.037
615,beanstandeten,1,0.037
616,beklagte,1,0.037
617,verwunderung,1,0.037
618,„priesterliches,1,0.037
619,wer,1,0.037
620,spioniere,1,0.037
621,ermahnte,1,0.037
622,aufzugeben,1,0.037
623,antwortete,1,0.037
624,‚das,1,0.037
625,ande-,1,0.037
626,res,1,0.037
627,sinne,1,0.037
628,daher,1,0.037
629,vorläufig,1,0.037
630,unternehmen.“,1,0.037
631,verhältnisses,1,0.037
632,jährigen,1,0.037
633,zornig,1,0.037
634,fragte,1,0.037
635,brief,1,0.037
636,schreibe,1,0.037
637,vertratscht,1,0.037
638,fühlt,1,0.037
639,bedeute,1,0.037
640,ändert,1,0.037
641,hochwst,1,0.037
642,ordinariate,1,0.037
643,urhe-,1,0.037
644,ber,1,0.037
645,„pfarrer,1,0.037
646,meldet,1,0.037
647,witwe,1,0.037
648,kinderdorf,1,0.037
649,mutterin,1,0.037
650,14-jährige,1,0.037
651,betreffenden,1,0.037
652,akten,1,0.037
653,findet,1,0.037
654,nachstehender,1,0.037
655,handschrift-,1,0.037
656,licher,1,0.037
657,vermerk,1,0.037
658,erkennbaren,1,0.037
659,verge-,1,0.037
660,hen“,1,0.037
661,wor-,1,0.037
662,rede,1,0.037
663,ermahnung,1,0.037
664,vorsicht,1,0.037
665,cfr,1,0.037
666,n,1,0.037
667,völlig“,1,0.037
668,zerstörten,1,0.037
669,„bei,1,0.037
670,aufzwänge].“,1,0.037
671,zeit-,1,0.037
672,zeugin,1,0.037
673,behandelnde,1,0.037
674,„sexuellen,1,0.037
675,vermittelte,1,0.037
676,schwul,1,0.037
677,„der,1,0.037
678,wirklich,1,0.037
679,menge,1,0.037
680,hochbeweglicher,1,0.037
681,charmante,1,0.037
682,art,1,0.037
683,sex,1,0.037
684,missbrauch/volljährig,1,0.037
685,zeitzeuginnen,1,0.037
686,berichten,1,0.037
687,gerne,1,0.037
688,flirtete,1,0.037
689,tänzer,1,0.037
690,eindruck,1,0.037
691,gründen,1,0.037
692,angegeben,1,0.037
693,zurückgenom-,1,0.037
694,aufrecht,1,0.037
695,mangel,1,0.037
696,beweisen,1,0.037
697,widerrufen,1,0.037
698,plausibel,1,0.037
699,vergewaltigen,1,0.037
700,dazwischengekommen,1,0.037
701,kontrollverlustes,1,0.037
702,intelligenzminderung,1,0.037
703,gesundheitlichen,1,0.037
704,zustandes,1,0.037
705,„heuer,1,0.037
706,einsatzfähig“,1,0.037
707,schränkt,1,0.037
708,verdächtiges,1,0.037
709,religionsunterrichts,1,0.037
710,beigefügten,1,0.037
711,schuldirektion,1,0.037
712,ergebnis,1,0.037
713,über-,1,0.037
714,griffe,1,0.037
715,schülern,1,0.037
716,nannt,1,0.037
717,glau-,1,0.037
718,benskongregation,1,0.037
719,folgt,1,0.037
720,„auf,1,0.037
721,alters,1,0.037
722,erinnerungen,1,0.037
723,problemlos,1,0.037
724,kannte,1,0.037
725,bericht,1,0.037
726,raue,1,0.037
727,zufolge,1,0.037
728,aufdeckungen,1,0.037
729,41,1,0.037
730,ehemaligen,1,0.037
731,eigentlich,1,0.037
732,bisschen,1,0.037
733,flirty,1,0.037
734,schwule,1,0.037
735,tanzmaus,1,0.037
736,echt,1,0.037
737,richtig,1,0.037
738,partner,1,0.037
739,ausdrücken,1,0.037
740,klare,1,0.037
741,aussagen,1,0.037
742,einzelner,1,0.037
743,betroffener,1,0.037
744,praxis,1,0.037
745,abflug,1,0.037
746,aufgegeben,1,0.037
747,irgendwann,1,0.037
748,geholt,1,0.037
749,betastet,1,0.037
750,darauf,1,0.037
751,angesprochen,1,0.037
752,helfen,1,0.037
753,kennenzulernen,1,0.037
754,sympathie,1,0.037
755,freundin,1,0.037
756,14-jährigen,1,0.037
757,heftig,1,0.037
758,erschreckt,1,0.037
759,hinten,1,0.037
760,beiden,1,0.037
761,sog,1,0.037
762,grabbelproblem,1,0.037
763,nachgewiesen,1,0.037
764,klage,1,0.037
765,religionsunterreicht,1,0.037
766,entbunden,1,0.037
767,verdächtigungen,1,0.037
768,eingefordert,1,0.037
769,1987,1,0.037
770,zwischenfall,1,0.037
771,antons,1,0.037
772,ablösung,1,0.037
773,berlin,1,0.037
774,hintergrund,1,0.037
775,war.«,1,0.037
776,entsprechen-,1,0.037
777,de,1,0.037
778,auffälligkeiten,1,0.037
779,namen,1,0.037
780,zwölf,1,0.037
781,fügt,1,0.037
782,hinzu,1,0.037
783,»was,1,0.037
784,jugendlichen,1,0.037
785,präzise,1,0.037
786,problem,1,0.037
787,genauso,1,0.037
788,geschluckt,1,0.037
789,punkt,1,0.037
790,gar,1,0.037
791,erklären,1,0.037
792,vertreter,1,0.037
