,term,frequency,percentage
793,benennt,1,0.037
794,höfer,1,0.037
795,verrückteste,1,0.037
796,viel-,1,0.037
797,leicht,1,0.037
798,kaputten,1,0.037
799,lebensmitteln,1,0.037
800,annäherungen,1,0.037
801,wussten,1,0.037
802,bzw,1,0.037
803,benötigen,1,0.037
804,besagten,1,0.037
805,volljährig,1,0.037
806,wesen,1,0.037
807,hoffe,1,0.037
808,angerichteten,1,0.037
809,schaden,1,0.037
810,vergrößern,1,0.037
811,sprechen.«,1,0.037
812,putzdienste,1,0.037
813,verrichtete,1,0.037
814,»angegrabbelt«,1,0.037
815,pfarrers,1,0.037
816,pornohefte,1,0.037
817,herumlagen,1,0.037
818,schulunterricht,1,0.037
819,merkt,1,0.037
820,wandert,1,0.037
821,unterm,1,0.037
822,pullover,1,0.037
823,schlimme,1,0.037
824,dran«,1,0.037
825,»wenn,1,0.037
826,schlafen,1,0.037
827,»vertraulichen,1,0.037
828,gesprächs«,1,0.037
829,brust,1,0.037
830,»jetzt,1,0.037
831,neuer,1,0.037
832,vater,1,0.037
833,sein.«,1,0.037
834,»und,1,0.037
835,„vermeintlichen,1,0.037
836,vorfälle“,1,0.037
837,40,1,0.037
838,zurücklägen,1,0.037
839,befasste,1,0.037
840,ranghohe,1,0.037
841,mitarbeiter,1,0.037
842,innen,1,0.037
843,schüler,1,0.037
844,oberschule,1,0.037
845,erzählt,1,0.037
846,„begrapscht“,1,0.037
847,rer,1,0.037
848,„keine,1,0.037
849,ahnung“,1,0.037
850,erinnern,1,0.037
851,t,1,0.037
852,südamerikaner,1,0.037
853,ombuds-,1,0.037
854,stelle,1,0.037
855,erneut,1,0.037
856,grundschule,1,0.037
857,erlitten,1,0.037
858,bruder,1,0.037
859,vermute,1,0.037
860,bes,1,0.037
861,›berliner,1,0.037
862,art‹,1,0.037
863,vorgefallen,1,0.037
864,ertragen,1,0.037
865,merkwürdige,1,0.037
866,pflegte,1,0.037
867,pater,1,0.037
868,sorge,1,0.037
869,sinti,1,0.037
870,roma,1,0.037
871,aufbau,1,0.037
872,der-,1,0.037
873,jugendgruppen,1,0.037
874,sakramentkatechese,1,0.037
875,homosexuelle,1,0.037
876,anbefohlenen,1,0.037
877,jungen«,1,0.037
878,gebunden,1,0.037
879,verführt,1,0.037
880,gesetzt,1,0.037
881,fakt,1,0.037
882,gerade,1,0.037
883,kirchenverantwortliche,1,0.037
884,erfolgte,1,0.037
885,unwissend,1,0.037
886,tragwei-,1,0.037
887,te,1,0.037
888,verhaltens,1,0.037
889,verstehen«,1,0.037
890,»massive,1,0.037
891,›ventil‹,1,0.037
892,genug)«,1,0.037
893,vorfall,1,0.037
894,»unter,1,0.037
895,teppich,1,0.037
896,gekehrt«,1,0.037
897,offenbar,1,0.037
898,information,1,0.037
899,berichterstat-,1,0.037
900,ter,1,0.037
901,glaubhaft,1,0.037
902,wachsenen,1,0.037
903,missbräuchlicher,1,0.037
904,absicht,1,0.037
905,genähert,1,0.037
906,1395,1,0.037
907,sexualfragen,1,0.037
908,häuse-,1,0.037
909,rin.“,1,0.037
910,„bischof,1,0.037
911,jo-,1,0.037
912,seph,1,0.037
913,gargitter,1,0.037
914,geredet,1,0.037
915,gottesdienstgestaltung,1,0.037
916,…«,1,0.037
917,mädchens,1,0.037
918,opfer,1,0.037
919,sexualisierter,1,0.037
920,deutige,1,0.037
921,sünde,1,0.037
922,tatbestand,1,0.037
923,ferienfreizeiten,1,0.037
924,zusammen-,1,0.037
925,elisabethschule,1,0.037
926,u.a,1,0.037
927,förderung,1,0.037
928,projektes,1,0.037
929,petronella,1,0.037
930,for-,1,0.037
931,streichelte,1,0.037
932,unsittlichen,1,0.037
933,bewusst,1,0.037
934,verzweiflung,1,0.037
935,natürlich,1,0.037
936,hat.«,1,0.037
937,untersuchung,1,0.037
938,schwerwiegenden,1,0.037
939,1339,1,0.037
940,§§,1,0.037
941,»nach,1,0.037
942,intensiven,1,0.037
943,aschemann,1,0.037
944,not,1,0.037
945,arm,1,0.037
946,nahm,1,0.037
947,angemessen,1,0.037
948,ine,1,0.037
949,schrift-,1,0.037
950,liche,1,0.037
951,verwarnung,1,0.037
952,schriftlichen,1,0.037
953,verweis,1,0.037
954,aussprechen,1,0.037
955,§,1,0.037
956,vor(liegt,1,0.037
957,gerechte,1,0.037
958,vorsieht,1,0.037
959,enthebung,1,0.037
960,amt,1,0.037
961,hildesheim,1,0.037
962,hirt,1,0.037
963,»das,1,0.037
964,seelsorger,1,0.037
965,menschen,1,0.037
966,rande,1,0.037
967,gesellschaft,1,0.037
968,lebt,1,0.037
969,meinsam,1,0.037
970,essen,1,0.037
971,putz-,1,0.037
972,putzen,1,0.037
973,mussten,1,0.037
974,verfügung,1,0.037
975,ließ,1,0.037
976,damen,1,0.037
977,wohnen,1,0.037
978,dinge,1,0.037
979,mitgeteilt,1,0.037
980,unverzüglich,1,0.037
981,verlassen,1,0.037
982,irgendwelchen,1,0.037
983,besu-,1,0.037
984,zurückzukommen,1,0.037
985,»er,1,0.037
986,jugendliche,1,0.037
987,verdacht,1,0.037
988,moralischen,1,0.037
989,sicherheit,1,0.037
990,hat«,1,0.037
991,seinerzeit,1,0.037
992,1996,1,0.037
993,1997,1,0.037
994,unglücklicher,1,0.037
995,clean,1,0.037
996,nachricht,1,0.037
997,möglicherweisen,1,0.037
998,abruf,1,0.037
999,tons,1,0.037
1000,dauerdelirium,1,0.037
1001,unauffindbar,1,0.037
1002,schritte,1,0.037
1003,geleistet,1,0.037
1004,nenne,1,0.037
1005,meindemitglieder,1,0.037
1006,setze,1,0.037
1007,pädagogischen,1,0.037
1008,therapeutischen,1,0.037
1009,fähigkeiten,1,0.037
1010,alkoholabhängige,1,0.037
1011,sagen,1,0.037
1012,lässt,1,0.037
1013,möglichkeit,1,0.037
1014,wichtige,1,0.037
1015,geradezu,1,0.037
1016,modell,1,0.037
1017,randgruppenarbeit,1,0.037
1018,pfarrgemeinde,1,0.037
1019,mahlzeit,1,0.037
1020,weiteres,1,0.037
1021,übertragbar,1,0.037
1022,sicher,1,0.037
1023,einfacher,1,0.037
1024,mensch,1,0.037
1025,vieles,1,0.037
1026,tätigkeit,1,0.037
1027,griffen…,1,0.037
1028,geklagt,1,0.037
1029,skandalös,1,0.037
1030,greift,1,0.037
1031,…]“,1,0.037
1032,eheprobleme,1,0.037
1033,schritt,1,0.037
1034,abgese-,1,0.037
1035,gepackt,1,0.037
1036,ruhe,1,0.037
1037,läßt,1,0.037
1038,schlage,1,0.037
1039,krankenhausreif…,1,0.037
1040,nichte,1,0.037
1041,mehrmals,1,0.037
1042,abge-,1,0.037
1043,lachhafte,1,0.037
1044,beschreibung,1,0.037
1045,festgestellt,1,0.037
1046,schöne,1,0.037
1047,welt…,1,0.037
1048,geschäft,1,0.037
1049,angegrif-,1,0.037
1050,fen…,1,0.037
1051,finanziellen,1,0.037
1052,machenschaften,1,0.037
1053,geschwei-,1,0.037
1054,ge,1,0.037
1055,bereinigen,1,0.037
1056,betriebene,1,0.037
1057,prüfung,1,0.037
1058,unregelmäßigkeiten,1,0.037
1059,tan-,1,0.037
1060,gendo,1,0.037
1061,eius,1,0.037
1062,pudendu,1,0.037
1063,super,1,0.037
1064,vestem,1,0.037
1065,schola,1,0.037
1066,richterstatter,1,0.037
1067,zuschüsse,1,0.037
1068,projekte,1,0.037
1069,geflossen,1,0.037
1070,diesbe-,1,0.037
1071,zügliche,1,0.037
1072,verwendungsnachweise,1,0.037
1073,nötig,1,0.037
1074,»ich,1,0.037
1075,neralvikar,1,0.037
1076,interessiert,1,0.037
1077,risiko,1,0.037
1078,rückforderungen,1,0.037
1079,öf-,1,0.037
1080,fentlichen,1,0.037
1081,bestünde,1,0.037
