,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
Anbahnung,0,2,1,1,4
Durchführung,0,1,0,0,1
Geständnis,0,0,0,0,0
Schritte der Wiedergutmachung,0,0,0,0,0
Vertuschung,0,0,0,1,1
Weiteres Handeln der Beschuldigten,0,0,0,0,0
Sum,0,3,1,2,6
