,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Meldung (Umfeld),0,3,0,0,0,3,0,6
Solidarisierung mit Beschuldigtem (Umfeld),0,0,0,0,0,0,0,0
Solidarisierung mit Betroffenen (Umfeld),0,0,0,0,0,0,0,0
Verzicht auf Meldung (Umfeld),0,0,0,0,0,0,0,0
Warnung,0,0,0,0,0,0,0,0
Sum,0,3,0,0,0,3,0,6
