,Unglaubwürdigkeit,Weitere Stereotype und Motive,Sum
Anbahnung,0,0,0
Durchführung,0,0,0
Geständnis,1,0,1
Schritte der Wiedergutmachung,0,0,0
Vertuschung,6,0,6
Weiteres Handeln der Beschuldigten,0,0,0
Sum,7,0,7
