,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Victim Blaming (Bistum),Vorgehen,Sum
Anbahnung,0,0,0,0,0,0,0,0
Durchführung,0,0,0,0,0,0,0,0
Geständnis,0,0,0,0,0,0,2,2
Schritte der Wiedergutmachung,0,0,0,0,0,0,0,0
Vertuschung,0,0,0,0,0,0,6,6
Weiteres Handeln der Beschuldigten,0,0,0,0,0,0,1,1
Sum,0,0,0,0,0,0,9,9
