,Meldung (Umfeld),Solidarisierung mit Beschuldigtem (Umfeld),Solidarisierung mit Betroffenen (Umfeld),Verzicht auf Meldung (Umfeld),Warnung,Sum
Dummheit,2,0,0,0,1,3
Gefahr für priesterliches Ansehen,4,0,0,0,0,4
Kirchenrechtlich,0,0,0,0,0,0
Missbrauch,1,0,0,0,0,1
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0
Strafrechtlich,0,0,0,0,0,0
Verführung,1,0,0,0,0,1
Verhältnis,4,0,0,0,0,4
Verstoß gegen 6. Gebot,0,0,0,0,0,0
Weitere Framings,1,0,0,0,0,1
Zölibatsverstoß,0,0,0,0,0,0
moralische Verurteilung,2,0,0,0,0,2
unerheblich,0,0,0,1,0,1
verklausuliert,2,0,0,0,0,2
"Übergriff, Gewalt etc.",2,0,0,0,0,2
Sum,19,0,0,1,1,21
