,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
"Rechtliches Verfahren, offizielle Untersuchung",0,0,0,0,0,0,0,0
Sum,0,0,0,0,0,0,0,0
