,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Definition,0,0,0,0,0,0,0,0
Statistik,0,0,0,0,0,0,0,0
qualitative Auswertung,0,0,1,0,5,1,0,7
Sum,0,0,1,0,5,1,0,7
