,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
reproduktiv,0,0,1,0,0,0,0,2,3
sexuell,5,2,10,2,3,4,0,17,43
spirituell,0,0,1,0,0,0,0,1,2
weitere Vorwürfe,0,0,2,0,2,2,0,6,12
Sum,5,2,14,2,5,6,0,26,60
