,Büro Beschuldigte*r,Reisen und Ausflüge,Sum
Bildung,0,0,0
Dienstverhältnis,0,0,0
Geistliche Gemeinschaften,0,0,0
Jugendarbeit,0,0,0
Orden,0,0,0
Seelsorge,0,0,0
weitere Tatkonstellationen,0,0,0
Sum,0,0,0
