,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Dummheit,1,0,0,0,1,1,0,0,3
Gefahr für priesterliches Ansehen,0,0,0,0,1,3,0,3,7
Kirchenrechtlich,1,0,0,0,3,0,0,0,4
Missbrauch,0,0,1,1,2,0,0,3,7
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0,0,0,0
Strafrechtlich,1,0,0,0,2,0,0,0,3
Verführung,0,2,0,0,0,0,0,1,3
Verhältnis,0,3,1,0,1,2,0,4,11
Verstoß gegen 6. Gebot,0,0,0,0,1,0,0,0,1
Weitere Framings,0,0,0,0,0,0,0,1,1
Zölibatsverstoß,1,0,1,0,0,1,0,0,3
moralische Verurteilung,1,0,0,0,0,3,0,1,5
unerheblich,2,2,0,0,3,0,0,0,7
verklausuliert,0,0,1,0,1,6,0,2,10
"Übergriff, Gewalt etc.",0,0,0,0,0,0,0,1,1
Sum,7,7,4,1,15,16,0,16,66
