,"Rechtliches Verfahren, offizielle Untersuchung",Sum
Meldung (Umfeld),1,1
Solidarisierung mit Beschuldigtem (Umfeld),0,0
Solidarisierung mit Betroffenen (Umfeld),0,0
Verzicht auf Meldung (Umfeld),0,0
Warnung,0,0
Sum,1,1
