Tagset;Tagset ID;Tag;Tag ID;Tag Path;Tag Parent ID;Tag Color;Tag Author;Project Name;Project ID;;;;
Tatkonstellation;T_D1F03E83-E7B1-41C7-A0D0-6B16CD8ECF61;weitere Tatkonstellationen;CATMA_E90C90C6-D5C0-4037-B445-C69EE32C0DD8;/weitere Tatkonstellationen;;#2E1D4C;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Zeit;T_DFC71855-D297-4A72-9E85-D10DD0A2A72C;Meldung;CATMA_607EF6E2-A9A4-4A08-8A52-1EEDF1AF140A;/Meldung;;#B57771;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Zeit;T_DFC71855-D297-4A72-9E85-D10DD0A2A72C;Reaktion;CATMA_CF1496D6-1684-4085-B5F6-57DC2B91426C;/Reaktion;;#3CCFE9;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Zeit;T_DFC71855-D297-4A72-9E85-D10DD0A2A72C;Tat;CATMA_EFC508B6-1D39-44DB-BF7F-2446A3582795;/Tat;;#E750D9;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Zeit;T_DFC71855-D297-4A72-9E85-D10DD0A2A72C;weitere Zeitangaben;CATMA_F245582A-4795-421B-998B-FFACFA1752E1;/weitere Zeitangaben;;#1008D9;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Druck/Zwang;CATMA_905A4906-A934-446B-91AF-2541CD730B5C;/Neutralisierung/Druck/Zwang;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#1A8CC3;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Entschädigung, Wiedergutmachung etc.;CATMA_8DEB223C-A38F-40AF-9826-6DD2DE2C1AB2;/Entschädigung, Wiedergutmachung etc.;;#762596;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Loyalität mit dem Täter;CATMA_02B331EC-D557-4CA5-8963-AAAA7043B65D;/Loyalität mit dem Täter;;#447677;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Maßnahme, Strafe;CATMA_3A4B3749-0203-4919-9554-D54C3318A625;/Vorgehen/Maßnahme, Strafe;CATMA_F69A0CFE-A93A-463D-9EB1-B95C25CB8883;#7082B7;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Neutralisierung;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;/Neutralisierung;;#3492CE;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Schweigegebot;CATMA_50DB498D-A6A4-41B6-9F36-B0189E482413;/Schweigegebot;;#CBB2CD;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Solidarisierung mit Betroffenen;CATMA_4E9B0719-1ADA-4520-B79B-98E500CB26B6;/Solidarisierung mit Betroffenen;;#0FA59A;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Täuschung;CATMA_B67C9C59-DDAC-41D9-B511-ACE62BD1B73A;/Neutralisierung/Täuschung;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#10059D;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Verschleierung;CATMA_939927B5-FD79-4FE0-953C-E5A4B17F2F61;/Neutralisierung/Verschleierung;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#3468F8;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Verzögerung;CATMA_86272FE8-18AD-46EB-B7C0-40B75F016B67;/Neutralisierung/Verzögerung;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#AA0E1B;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Victim Blaming (Bistum);CATMA_E3806598-C118-436A-AFFB-DFAA620953C6;/Victim Blaming (Bistum);;#81CC76;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Vorgehen;CATMA_F69A0CFE-A93A-463D-9EB1-B95C25CB8883;/Vorgehen;;#FF4925;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Vorgehen allgemein;CATMA_EEC4BE9B-D7EF-429C-8614-E49A795ACF03;/Vorgehen/Vorgehen allgemein;CATMA_F69A0CFE-A93A-463D-9EB1-B95C25CB8883;#FD99BB;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;Weiteres Handeln des Bistums;CATMA_30FD6164-D9F0-4F37-86DD-EE0016547374;/Weiteres Handeln des Bistums;;#9BB4A3;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;finanziell;CATMA_2482F61D-D730-467F-B6FD-4BFFE8A34891;/Neutralisierung/finanziell;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#6BF5C0;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;keine Konsequenzen;CATMA_F3B42D93-42A0-40F7-AF5D-CF0D86BB0A5A;/Vorgehen/keine Konsequenzen;CATMA_F69A0CFE-A93A-463D-9EB1-B95C25CB8883;#D88457;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Bistumsverantwortlichen;T_9A5514F0-65FF-4CC9-9AEC-88DE6694EBF7;normativ;CATMA_D2CEAA31-85CE-4868-8A6A-2A13B62C7E75;/Neutralisierung/normativ;CATMA_AAD93480-F647-491D-87E7-7C8CD1C9EF00;#931B9A;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Abwehr;CATMA_F8DD2F8A-7D68-4E27-A307-A9075DA5D7A5;/Abwehr;;#7D1F0D;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Disclosure privat;CATMA_C1FDCE1C-77C5-45E2-A5AC-9BEC9814EBE3;/Disclosure privat;;#90CFA7;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Meldung;CATMA_4B58BD11-F55C-4E4B-A09C-474BD5D22CE0;/Meldung;;#A7DF05;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Solidarisierung mit den beschuldigten (Betroffene);CATMA_29A4EF7A-AFCF-4DF0-B0A2-757092443D8C;/Solidarisierung mit den beschuldigten (Betroffene);;#F026B2;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Verzicht auf Meldung (Betroffene);CATMA_3F14D003-FB8E-42A3-80CC-9DCEEA79BEA9;/Verzicht auf Meldung (Betroffene);;#AFFAA6;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Handeln der Betroffenen;T_1159915B-02F2-4F7C-B88A-7011BC357EB1;Weiteres Handeln der Betroffenen;CATMA_DEFCEF40-6A7A-49B1-B176-2F8DDBE32E1B;/Weiteres Handeln der Betroffenen;;#984852;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Metaanalyse;T_3D77A284-11A3-46CC-BFFF-DA8A36F99AC5;Definition;CATMA_67B0B767-95AF-4E92-8AF3-C3096A5721D0;/Definition;;#AE1A99;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Metaanalyse;T_3D77A284-11A3-46CC-BFFF-DA8A36F99AC5;Statistik;CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B;/Statistik;;#4D78DE;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Metaanalyse;T_3D77A284-11A3-46CC-BFFF-DA8A36F99AC5;qualitative Auswertung;CATMA_A4F62753-D014-4231-A750-E730F6DE7F6F;/qualitative Auswertung;;#7AD51D;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Beschuldigte;T_337F5CED-E864-49BD-BEDE-8BEA61C2BBD7;Kleriker;CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047;/Kleriker;;#92FFFC;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Beschuldigte;T_337F5CED-E864-49BD-BEDE-8BEA61C2BBD7;Nicht-Kleriker;CATMA_82A44BD7-8701-4E4B-8245-FEB4B4A8FA46;/Nicht-Kleriker;;#329E13;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Beschuldigte;T_337F5CED-E864-49BD-BEDE-8BEA61C2BBD7;Rahmeninformationen Beschuldigte;CATMA_0E3DFEA2-E250-4580-BC82-29A15E865250;/Rahmeninformationen Beschuldigte;;#AF568A;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;Geschlecht Beschuldigter[gemischt, männlich, unklar, weiblich] CATMA_67EA260E-8FC7-46D6-9404-5AA445C290F8;ID (Beschuldigte)[] CATMA_EE9BA535-F7A5-4C0D-A7EB-81F41A407F94;Rolle (Beschuldigte)[Ehrenamt, Hauptberuflich MA (nicht Kleriker), Kleriker] CATMA_2A270FB9-129F-4C03-A802-8F7D7BAA9ADC
Beschuldigte;T_337F5CED-E864-49BD-BEDE-8BEA61C2BBD7;k. A. zum Beschuldigten;CATMA_F446B7BD-5022-48BD-8C35-F97EBE267AE0;/k. A. zum Beschuldigten;;#F04B0A;Mhuerten;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Relevante Textstelle;T_7D573157-997F-41DE-9FC0-CB51E31A4A44;End;CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF;/End;;#6C7B8C;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
Relevante Textstelle;T_7D573157-997F-41DE-9FC0-CB51E31A4A44;Start;CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3;/Start;;#F9E85E;thomasSchmidt;EpiEpa-1;CATMA_2FE822DF-DAD1-4B6A-8D0C-4E0A7A87BB8C_EpiEpa_1;;;;
